hostname,sy_snum,sy_pnum,pl_bmasse,pl_bmassj,st_mass
HD 20794,1,4,4.77000,0.01501,0.81
HD 208487,1,1,165.26500,0.52000,1.13
HD 208527,1,1,3146.40000,9.90000,1.60
HD 20868,1,1,397.28750,1.25000,0.39
HD 208897,1,1,444.96200,1.40000,1.25
HD 209458,1,1,232.01590,0.73000,1.23
HD 210193,1,1,153.10000,0.48170,1.04
HD 210277,1,1,410.00070,1.29000,1.01
HD 210702,1,1,574.63664,1.80800,1.61
HD 211810,1,1,212.94610,0.67000,1.03
HD 211970,1,1,13.00000,0.04090,0.61
HD 212771,1,1,759.61370,2.39000,1.56
HD 213885,1,2,8.83000,0.02778,1.07
HD 213885,1,2,19.95000,0.06277,1.07
HD 21411,1,1,65.90000,0.20734,0.89
HD 215152,1,4,1.81900,0.00572,0.77
HD 215152,1,4,1.72000,0.00541,0.77
HD 215152,1,4,2.80100,0.00881,0.77
HD 215152,1,4,2.87700,0.00905,0.77
HD 215497,1,2,6.35660,0.02000,0.67
HD 215497,1,2,104.30000,0.33000,0.87
HD 216435,1,1,400.40000,1.26000,1.30
HD 216437,1,1,706.53609,2.22300,1.17
HD 216520,1,2,10.26000,0.03228,0.82
HD 216520,1,2,9.44000,0.02970,0.82
HD 216536,1,1,333.72150,1.05000,0.81
HD 216770,1,1,181.16310,0.57000,0.74
HD 21693,1,2,8.23000,0.02590,0.80
HD 21693,1,2,17.37000,0.05470,0.80
HD 217107,1,2,413.17900,1.30000,1.00
HD 217107,1,2,826.32000,2.60000,0.98
GJ 143,1,2,3.70000,0.01164,0.73
HD 217850,1,1,6865.12800,21.60000,1.03
HD 218566,1,1,63.56600,0.20000,0.76
HD 219077,1,1,3302.11000,10.39000,1.05
HD 219134,1,6,4.74000,0.01491,0.81
HD 219134,1,6,4.36000,0.01372,0.81
HD 219134,1,6,16.17000,0.05088,0.81
HD 219134,1,6,7.30000,0.02297,0.81
HD 219134,1,6,10.80622,0.03400,0.79
HD 219134,1,6,108.06220,0.34000,0.79
HD 219415,1,1,317.83000,1.00000,1.00
HD 219666,1,1,16.60000,0.05223,0.92
HD 219828,1,2,20.97678,0.06600,1.18
HD 219828,1,2,4640.31800,14.60000,1.18
HD 220074,1,1,5288.69120,16.64000,2.20
HD 220197,1,1,63.56600,0.20000,0.91
HD 220689,1,1,355.33394,1.11800,1.02
HD 220773,1,1,460.80000,1.45000,1.16
HD 221287,1,1,982.05000,3.09000,1.25
HD 221416,1,1,60.50000,0.19000,1.21
HD 221420,1,1,3082.95100,9.70000,1.67
HD 221585,1,1,511.70630,1.61000,1.19
HD 222076,1,1,495.81480,1.56000,1.07
HD 222155,1,1,673.79960,2.12000,1.21
HD 224538,1,1,1897.44510,5.97000,1.34
HD 224693,1,1,222.48100,0.70000,1.31
HD 22781,1,1,4338.20000,13.65000,0.75
HD 23079,1,1,829.53630,2.61000,1.12
HD 23127,1,1,485.32641,1.52700,1.21
HD 231701,1,1,359.14790,1.13000,1.21
HD 233604,1,1,2089.64400,6.57500,1.50
HD 23472,1,2,17.92000,0.05638,0.75
HD 23472,1,2,17.18000,0.05405,0.75
HD 238090,1,1,6.89000,0.02168,0.58
HD 238914,1,1,1906.98000,6.00000,1.47
HD 240210,1,1,1655.82000,5.21000,0.82
HD 240237,1,1,5050.31870,15.89000,8.76
HD 24040,1,1,1226.82380,3.86000,1.11
HD 24064,1,1,4096.82870,12.89000,1.61
HD 24085,1,1,11.80000,0.03713,1.22
HD 25015,1,1,1423.87840,4.48000,0.86
HD 2685,1,1,371.86110,1.17000,1.43
HD 27631,1,1,474.83802,1.49400,0.94
HD 27894,1,3,211.35695,0.66500,0.80
HD 27894,1,3,51.48846,0.16200,0.80
HD 27894,1,3,1721.04945,5.41500,0.80
HD 28185,1,1,1875.19700,5.90000,1.02
HD 285507,1,1,311.47340,0.98000,0.82
HD 285968,1,1,8.40000,0.02600,0.50
HD 28678,1,1,490.09386,1.54200,1.53
HD 29021,1,1,762.79200,2.40000,0.85
HD 290327,1,1,772.32690,2.43000,0.84
HD 2952,1,1,435.42710,1.37000,1.97
HD 30177,1,2,2740.33026,8.62200,1.05
HD 30177,1,2,2415.50800,7.60000,0.99
HD 30562,1,1,387.75260,1.22000,1.12
HD 30669,1,1,149.37000,0.47000,0.92
HD 31253,1,1,197.05460,0.62000,1.70
HD 31527,1,3,10.47000,0.03290,0.96
HD 31527,1,3,14.16000,0.04450,0.96
HD 31527,1,3,11.82000,0.03720,0.96
HD 3167,1,3,5.02000,0.01579,0.94
HD 3167,1,3,9.80000,0.03083,0.94
HD 3167,1,3,6.90000,0.02171,0.86
HD 32518,1,1,966.16000,3.04000,1.13
HD 32963,1,1,222.48100,0.70000,0.94
HD 330075,1,1,152.55840,0.48000,0.47
HD 33142,1,2,440.19455,1.38500,1.41
HD 33142,1,2,1897.44510,5.97000,1.62
HD 332231,1,1,77.55052,0.24400,1.13
HD 33564,1,1,2892.10000,9.10000,1.25
HD 33844,1,2,638.83830,2.01000,1.84
HD 33844,1,2,556.20250,1.75000,1.78
HD 34445,1,6,260.62060,0.82000,1.14
HD 34445,1,6,53.50000,0.16800,1.07
HD 34445,1,6,30.70000,0.09700,1.07
HD 34445,1,6,16.80000,0.05290,1.07
HD 34445,1,6,37.90000,0.11900,1.07
HD 34445,1,6,120.60000,0.38000,1.07
HD 35759,1,1,1195.04080,3.76000,1.15
HD 3651,1,1,72.46524,0.22800,0.80
HD 37124,1,3,214.53525,0.67500,0.85
HD 37124,1,3,207.22516,0.65200,0.85
HD 37124,1,3,221.20968,0.69600,0.85
HD 37605,1,2,854.96270,2.69000,0.94
HD 37605,1,2,1013.87770,3.19000,0.94
HD 38283,1,1,127.13200,0.40000,1.37
HD 38801,1,1,3082.31534,9.69800,1.21
HD 39091,1,2,4100.00700,12.90000,1.09
HD 39855,1,1,8.50000,0.02674,0.87
HD 40307,1,5,4.00000,0.01260,0.77
HD 40307,1,5,6.60000,0.02080,0.77
HD 40307,1,5,9.50000,0.02990,0.77
HD 40307,1,5,5.20000,0.01640,0.77
HD 40307,1,5,7.10000,0.02230,0.77
HD 40956,1,1,858.14100,2.70000,2.00
HD 42012,1,1,508.52800,1.60000,0.83
HD 4203,1,2,708.76090,2.23000,1.25
HD 4203,1,2,689.66000,2.17000,0.99
HD 4208,1,1,257.44230,0.81000,0.88
HD 42618,1,1,14.40000,0.04531,1.01
HD 4308,1,1,15.89150,0.05000,0.93
HD 4313,1,1,612.45841,1.92700,1.63
HD 43197,1,1,190.69000,0.60000,0.96
HD 44219,1,1,184.33000,0.58000,1.00
HD 45184,1,2,12.19000,0.03840,1.03
HD 45184,1,2,8.81000,0.02770,1.03
HD 45350,1,1,568.89000,1.79000,0.98
HD 45364,1,2,59.49530,0.18720,0.82
HD 45364,1,2,209.09150,0.65790,0.82
HD 45652,1,1,137.62039,0.43300,0.92
HD 47186,1,2,22.24810,0.07000,0.96
HD 47186,1,2,111.42000,0.35061,0.96
HD 47366,1,2,731.00900,2.30000,2.19
HD 47366,1,2,597.52040,1.88000,2.19
HD 47536,1,1,2330.00000,7.32000,2.10
HD 4760,1,1,4417.83700,13.90000,1.05
HD 48265,1,1,484.69075,1.52500,1.31
HD 4917,1,1,513.29545,1.61500,1.32
HD 49674,1,1,31.78300,0.10000,1.03
HD 50499,1,2,519.96988,1.63600,1.25
HD 50499,1,2,931.24190,2.93000,1.31
HD 50554,1,1,1574.46400,4.95400,1.04
HD 51608,1,2,12.77000,0.04020,0.80
HD 51608,1,2,14.31000,0.04500,0.80
HD 52265,1,1,384.57430,1.21000,1.20
HD 5278,1,2,7.80000,0.02454,1.13
HD 5278,1,2,18.40000,0.05789,1.13
HD 5319,1,2,494.54348,1.55600,1.27
HD 5319,1,2,334.67499,1.05300,1.27
HD 55696,1,1,1230.00210,3.87000,1.29
HD 5583,1,1,1837.05740,5.78000,1.01
HD 5608,1,1,534.27223,1.68100,1.53
HD 564,1,1,104.88000,0.33000,0.96
HD 5891,1,1,2425.04290,7.63000,1.93
HD 60292,1,1,2065.89500,6.50000,1.70
HD 60532,1,2,336.89980,1.06000,1.50
HD 60532,1,2,797.75330,2.51000,1.50
HD 62509,1,1,731.00000,2.30000,2.00
HD 63433,1,2,5.27000,0.01660,0.99
HD 63433,1,2,7.61000,0.02390,0.99
HD 63454,1,1,79.45750,0.25000,0.42
HD 63765,1,1,168.44990,0.53000,0.65
HD 64114,1,1,17.80000,0.05600,0.95
HD 6434,1,1,155.73670,0.49000,1.10
HD 66141,1,1,1906.90000,6.00000,1.10
HD 66428,1,1,1018.32732,3.20400,1.08
HD 67087,1,2,973.00000,3.06000,1.36
HD 67087,1,2,1540.00000,4.85000,1.36
HD 6718,1,1,533.95440,1.68000,1.08
HD 68402,1,1,975.73810,3.07000,1.12
HD 68988,1,1,626.12510,1.97000,1.28
HD 69830,1,3,10.20000,0.03210,0.86
HD 69830,1,3,11.80000,0.03710,0.86
HD 69830,1,3,18.10000,0.05700,0.86
HD 70573,1,1,1900.00000,6.10000,1.00
HD 70642,1,1,633.43519,1.99300,1.08
HD 7199,1,1,85.81410,0.27000,0.77
HD 72490,1,1,561.92344,1.76800,1.21
HD 72659,1,1,1223.64550,3.85000,1.43
HD 72892,1,1,1732.17350,5.45000,1.02
HD 73267,1,1,984.31951,3.09700,0.90
HD 73526,1,2,978.91640,3.08000,1.14
HD 73526,1,2,715.09000,2.25000,1.01
HD 73534,1,1,353.42696,1.11200,1.16
HD 74156,1,2,572.07000,1.80000,1.24
HD 74156,1,2,2561.60000,8.06000,1.24
HD 75784,1,2,317.83000,1.00000,1.26
HD 75784,1,2,1792.56120,5.64000,1.26
HD 75898,1,1,861.31930,2.71000,1.26
HD 76700,1,1,66.74430,0.21000,0.99
HD 76920,1,1,1249.07190,3.93000,1.17
HD 77338,1,1,15.90000,0.05000,1.37
HD 7924,1,3,6.35660,0.02000,0.65
HD 7924,1,3,7.86000,0.02473,0.83
HD 7924,1,3,6.44000,0.02026,0.83
HD 80653,1,1,5.60000,0.01762,1.18
HD 81040,1,1,2310.62410,7.27000,1.05
HD 81688,1,1,858.10000,2.70000,2.10
HD 81817,1,1,8613.19300,27.10000,4.30
HD 82886,1,1,740.54390,2.33000,2.53
HD 82943,1,2,534.25000,1.68100,1.08
HD 82943,1,2,622.60300,1.95900,1.08
HD 8326,1,1,66.60000,0.20955,0.80
HD 83443,1,1,108.06220,0.34000,0.79
HD 85390,1,1,31.46517,0.09900,0.76
HD 85512,1,1,3.60000,0.01100,0.43
HD 8574,1,1,645.19490,2.03000,1.34
HD 86226,1,2,143.02350,0.45000,1.02
HD 86226,1,2,7.25000,0.02281,1.02
HD 86264,1,1,2224.81000,7.00000,1.42
HD 86950,1,1,1144.18800,3.60000,1.66
HD 87883,1,1,489.45820,1.54000,0.66
HD 88133,1,1,324.18660,1.02000,1.26
HD 89307,1,1,670.62130,2.11000,1.27
HD 89345,1,1,34.96130,0.11000,1.16
HD 90156,1,1,17.98000,0.05700,0.84
HD 9174,1,1,352.79130,1.11000,1.03
HD 92788,1,2,1195.04080,3.76000,1.15
HD 92788,1,2,1166.43610,3.67000,1.15
HD 92987,1,1,5364.97040,16.88000,1.08
HD 93083,1,1,117.59000,0.37000,0.70
HD 9446,1,2,222.47200,0.70000,1.00
HD 9446,1,2,578.42600,1.82000,1.00
HD 94834,1,1,400.46580,1.26000,1.11
HD 95086,1,1,1589.00000,5.00000,1.60
HD 95089,1,2,400.46580,1.26000,1.54
HD 95089,1,2,1096.51350,3.45000,1.54
HD 95127,1,1,3378.53290,10.63000,3.70
HD 95338,1,1,42.44000,0.13353,0.83
HD 95872,1,1,1188.68420,3.74000,0.70
HD 96063,1,1,403.64410,1.27000,1.37
HD 96127,1,1,6661.71680,20.96000,10.94
HD 96992,1,1,362.32620,1.14000,0.96
HD 97048,1,1,794.57500,2.50000,2.40
HD 97658,1,1,8.88263,0.02795,0.89
HD 98219,1,1,624.21812,1.96400,1.41
HD 98649,1,1,2158.06570,6.79000,1.03
HD 99109,1,1,139.84520,0.44000,0.76
HD 99706,1,2,390.93090,1.23000,1.46
HD 99706,1,2,1808.45270,5.69000,1.72
HIP 105854,1,1,2606.10000,8.20000,2.10
HIP 107772,1,1,12.90000,0.04059,0.63
HIP 107773,1,1,629.30340,1.98000,2.42
HIP 109384,1,1,495.81480,1.56000,0.78
HIP 12961,1,1,114.41880,0.36000,0.69
HIP 14810,1,3,1239.53700,3.90000,1.01
HIP 14810,1,3,416.35730,1.31000,1.01
HIP 14810,1,3,187.51970,0.59000,1.01
HIP 35173,1,1,12.70000,0.03996,0.79
HIP 38594,1,2,8.10000,0.02549,0.61
HIP 38594,1,2,48.40000,0.15228,0.61
HIP 41378,1,5,8.75000,0.02750,1.17
HIP 41378,1,5,7.08000,0.02230,1.17
HIP 41378,1,5,14.90000,0.04670,1.17
HIP 41378,1,5,26.00000,0.08190,1.17
HIP 41378,1,5,74.00000,0.23300,1.17
HIP 4845,1,1,14.40000,0.04531,0.62
HIP 48714,1,1,22.90000,0.07205,0.58
HIP 5158,1,2,451.00000,1.42000,0.78
HIP 5158,1,2,4780.16320,15.04000,0.78
HIP 54373,1,2,8.62000,0.02712,0.57
HIP 54373,1,2,12.44000,0.03914,0.57
HIP 57274,1,3,6.35660,0.02000,0.29
HIP 57274,1,3,130.00000,0.40902,0.73
HIP 57274,1,3,167.40000,0.52670,0.73
HIP 63242,1,1,2917.56000,9.18000,1.54
HIP 65407,1,2,136.03124,0.42800,0.93
HIP 65407,1,2,249.17872,0.78400,0.93
HIP 65426,1,1,2860.47000,9.00000,1.96
HIP 65891,1,1,1906.98000,6.00000,2.50
HIP 67522,1,1,72.40000,0.22800,1.22
HIP 67537,1,1,3527.91300,11.10000,2.41
HIP 67851,1,2,438.60540,1.38000,1.63
HIP 67851,1,2,2002.20000,6.30000,1.63
HIP 71135,1,1,18.80000,0.05915,0.66
HIP 74890,1,1,762.79200,2.40000,1.74
HIP 78530,1,1,7300.00000,23.00000,2.50
HIP 79431,1,1,667.41500,2.10000,0.48
HIP 91258,1,1,346.43470,1.09000,0.97
HIP 97233,1,1,6356.30000,20.00000,1.93
HN Peg,1,1,6991.57000,21.99870,1.08
HR 2562,1,1,9534.90000,30.00000,1.30
HR 810,1,1,721.47410,2.27000,1.34
HR 8799,1,4,2000.00000,7.00000,1.61
HR 8799,1,4,3000.00000,10.00000,1.61
HR 8799,1,4,3000.00000,10.00000,1.61
HR 8799,1,4,3178.30000,10.00000,1.51
IC 4651 9122,1,1,2002.32900,6.30000,2.10
K2-10,1,1,27.00000,0.08495,0.92
K2-100,1,1,12.60000,0.03960,1.23
K2-101,1,1,4.66000,0.01470,0.80
K2-102,1,1,2.24000,0.00705,0.77
K2-104,1,1,4.50000,0.01420,0.43
K2-105,1,1,30.00000,0.09439,0.99
K2-107,1,1,266.97720,0.84000,1.30
K2-108,1,1,59.40000,0.18689,1.17
K2-11,1,1,44.40000,0.14000,1.35
K2-110,1,1,16.70000,0.05254,0.75
K2-111,1,2,5.29000,0.01664,0.84
K2-111,1,2,11.30000,0.03555,0.84
K2-113,1,1,410.00070,1.29000,1.04
K2-114,1,1,587.98550,1.85000,0.89
K2-115,1,1,266.97720,0.84000,0.95
K2-116,1,1,0.25700,0.00081,0.69
K2-117,1,2,4.78000,0.01500,0.54
K2-117,1,2,4.90000,0.01540,0.54
K2-118,1,1,6.99000,0.02200,0.76
K2-119,1,1,6.94000,0.02180,0.76
K2-12,1,1,6.04000,0.01900,1.01
K2-120,1,1,4.70000,0.01480,0.69
K2-121,1,1,43.90000,0.13800,0.72
K2-123,1,1,8.05000,0.02530,0.62
K2-124,1,1,8.75000,0.02750,0.39
K2-125,1,1,5.39000,0.01700,0.49
K2-126,1,1,4.54000,0.01430,0.69
K2-127,1,1,52.90000,0.16700,0.72
K2-128,1,1,2.60000,0.00819,0.71
K2-129,1,1,1.12000,0.00352,0.36
K2-13,1,1,4.23000,0.01330,0.80
K2-130,1,1,2.10000,0.00660,0.70
K2-131,1,1,6.30000,0.01982,0.84
K2-132,1,1,155.73670,0.49000,1.08
K2-133,1,4,2.36000,0.00742,0.46
K2-133,1,4,3.20000,0.01010,0.46
K2-133,1,4,4.67000,0.01470,0.46
K2-133,1,4,3.64000,0.01150,0.46
K2-137,1,1,158.91500,0.50000,0.46
K2-138,1,6,3.10000,0.00975,0.94
K2-138,1,6,6.31000,0.01985,0.94
K2-138,1,6,7.92000,0.02492,0.94
K2-138,1,6,12.97000,0.04081,0.94
K2-138,1,6,1.63000,0.00513,0.94
K2-138,1,6,4.32000,0.01359,0.94
K2-139,1,1,123.00021,0.38700,0.96
K2-14,1,1,20.70000,0.06500,0.47
K2-140,1,1,323.86877,1.01900,1.00
K2-141,1,2,5.08000,0.01598,0.71
K2-141,1,2,7.40000,0.02328,0.71
K2-146,1,2,5.77000,0.01816,0.33
K2-146,1,2,7.49000,0.02358,0.33
K2-147,1,1,2.48000,0.00780,0.58
K2-149,1,1,3.33000,0.01050,0.59
K2-15,1,1,6.71000,0.02110,0.72
K2-150,1,1,4.66000,0.01470,0.46
K2-152,1,1,5.86000,0.01840,0.63
K2-153,1,1,4.66000,0.01470,0.55
K2-154,1,2,4.62000,0.01450,0.65
K2-154,1,2,4.94000,0.01550,0.65
K2-155,1,3,3.89000,0.01230,0.65
K2-155,1,3,7.27000,0.02290,0.65
K2-155,1,3,4.27000,0.01340,0.65
K2-156,1,1,1.60000,0.00505,0.66
K2-157,1,1,1.18000,0.00371,0.94
K2-158,1,2,7.46000,0.02350,0.92
K2-158,1,2,2.18000,0.00687,0.92
K2-159,1,1,5.73000,0.01800,0.90
K2-16,1,3,4.74000,0.01490,0.68
K2-16,1,3,6.99000,0.02200,0.68
K2-160,1,1,10.20000,0.03220,0.98
K2-161,1,1,31.10000,0.09780,0.99
K2-162,1,1,2.67000,0.00839,0.75
K2-163,1,1,6.65000,0.02090,0.83
K2-164,1,1,10.60000,0.03340,1.18
K2-165,1,3,2.17000,0.00682,0.83
K2-165,1,3,3.03000,0.00955,0.83
K2-165,1,3,7.50000,0.02360,0.83
K2-166,1,2,5.43000,0.01710,1.16
K2-167,1,1,8.34000,0.02620,1.02
K2-168,1,2,4.12000,0.01300,0.88
K2-169,1,1,2.16000,0.00681,0.99
K2-17,1,1,5.60000,0.01760,0.71
K2-170,1,2,2.60000,0.00817,0.96
K2-170,1,2,3.90000,0.01230,0.96
K2-171,1,1,7.69000,0.02420,0.89
K2-172,1,2,3.42000,0.01070,0.93
K2-172,1,2,10.40000,0.03260,0.93
K2-173,1,1,3.22000,0.01010,0.88
K2-174,1,1,7.27000,0.02290,0.70
K2-175,1,1,4.81000,0.01510,1.09
K2-176,1,1,2.83000,0.00890,0.94
K2-177,1,1,5.13000,0.01610,1.21
K2-178,1,1,12.40000,0.03900,0.95
K2-179,1,1,6.86000,0.02160,0.82
K2-18,1,2,8.92000,0.02807,0.36
K2-18,1,2,7.51000,0.02363,0.36
K2-180,1,1,5.95000,0.01870,0.72
K2-181,1,1,8.45000,0.02660,0.99
K2-182,1,1,8.05000,0.02530,0.88
K2-183,1,3,7.27000,0.02290,0.94
K2-183,1,3,8.60000,0.02710,0.93
K2-183,1,3,8.55000,0.02690,0.93
K2-184,1,1,3.02000,0.00951,0.86
K2-185,1,1,2.28000,0.00717,0.98
K2-186,1,1,10.20000,0.03210,1.02
K2-187,1,4,2.24000,0.00705,0.98
K2-187,1,4,3.89000,0.01230,0.98
K2-187,1,4,10.20000,0.03200,0.98
K2-187,1,4,6.26000,0.01970,0.98
K2-188,1,2,2.39000,0.00752,1.06
K2-188,1,2,8.40000,0.02640,1.06
K2-189,1,2,2.92000,0.00920,0.94
K2-189,1,2,6.80000,0.02140,0.94
K2-19,1,3,28.50000,0.08967,0.93
K2-19,1,3,15.90000,0.05003,0.93
K2-19,1,3,14.00000,0.04405,0.93
K2-190,1,2,2.41000,0.00758,0.90
K2-190,1,2,1.34000,0.00421,0.90
K2-191,1,1,3.12000,0.00981,0.90
K2-192,1,1,2.92000,0.00920,0.90
K2-193,1,1,14.80000,0.04650,1.01
K2-194,1,1,12.90000,0.04050,1.11
K2-195,1,2,9.96000,0.03130,0.94
K2-195,1,2,7.16000,0.02250,0.96
K2-196,1,1,12.60000,0.03970,1.16
K2-197,1,1,7.08000,0.02230,1.00
K2-198,1,3,16.30000,0.05140,0.80
K2-198,1,3,2.61000,0.00822,0.80
K2-198,1,3,6.52000,0.02050,0.80
K2-199,1,2,4.16000,0.01310,0.73
K2-199,1,2,8.15000,0.02560,0.73
K2-200,1,1,2.43000,0.00766,0.86
K2-201,1,2,2.54000,0.00800,0.96
K2-201,1,2,10.80000,0.03400,0.96
K2-202,1,1,5.91000,0.01860,0.97
K2-203,1,1,2.45000,0.00772,0.79
K2-204,1,1,9.51000,0.02990,1.01
K2-205,1,1,4.64000,0.01460,0.95
K2-206,1,1,8.22000,0.02590,0.79
K2-207,1,1,7.30000,0.02300,0.94
K2-208,1,1,3.46000,0.01090,0.93
K2-209,1,1,0.58600,0.00184,0.74
K2-21,1,2,4.04000,0.01270,0.68
K2-21,1,2,6.76000,0.02130,0.68
K2-210,1,1,0.47400,0.00149,0.91
K2-211,1,1,2.46000,0.00775,0.88
K2-212,1,1,6.90000,0.02170,0.67
K2-213,1,1,2.90000,0.00913,1.07
K2-214,1,1,6.48000,0.02040,1.05
K2-215,1,1,5.16000,0.01620,1.00
K2-216,1,1,8.00000,0.02517,0.70
K2-217,1,1,12.50000,0.03930,1.10
K2-218,1,1,7.13000,0.02240,1.05
K2-219,1,3,2.38000,0.00750,1.02
K2-219,1,3,2.66000,0.00837,1.02
K2-219,1,3,7.16000,0.02250,1.02
K2-220,1,1,6.30000,0.01980,0.96
K2-221,1,1,3.46000,0.01090,1.01
K2-222,1,1,6.30000,0.01980,1.00
K2-223,1,2,0.64000,0.00201,1.06
K2-223,1,2,3.09000,0.00972,1.06
K2-224,1,2,3.05000,0.00961,0.91
K2-224,1,2,6.39000,0.02010,0.91
K2-225,1,1,12.00000,0.03770,1.27
K2-226,1,1,2.99000,0.00940,0.88
K2-227,1,1,3.41000,0.01070,0.95
K2-228,1,1,1.92000,0.00606,0.71
K2-229,1,2,2.49000,0.00783,0.87
K2-229,1,2,21.30000,0.06702,0.87
K2-230,1,1,4.50000,0.01420,1.11
K2-231,1,1,6.80000,0.02140,1.01
K2-232,1,1,126.49634,0.39800,1.19
K2-233,1,3,2.54000,0.00798,0.80
K2-233,1,3,2.34000,0.00738,0.80
K2-233,1,3,7.46000,0.02350,0.80
K2-237,1,1,392.83788,1.23600,1.23
K2-238,1,1,273.33380,0.86000,1.19
K2-239,1,3,1.37000,0.00430,0.40
K2-239,1,3,0.97200,0.00306,0.40
K2-239,1,3,1.37000,0.00430,0.40
K2-24,1,2,19.00000,0.05978,1.07
K2-24,1,2,15.40000,0.04845,1.07
K2-240,1,2,4.66000,0.01470,0.58
K2-240,1,2,3.89000,0.01230,0.58
K2-241,1,1,7.04000,0.02210,0.71
K2-242,1,1,6.99000,0.02200,0.38
K2-243,1,2,5.35000,0.01680,1.29
K2-243,1,2,4.70000,0.01480,1.29
K2-244,1,1,3.71000,0.01170,0.86
K2-245,1,1,17.40000,0.05460,0.83
K2-246,1,1,12.00000,0.03770,0.87
K2-247,1,2,5.14000,0.01620,0.74
K2-247,1,2,5.43000,0.01710,0.74
K2-248,1,1,7.13000,0.02240,0.88
K2-249,1,1,8.20000,0.02580,1.32
K2-25,1,1,11.60000,0.03660,0.29
K2-250,1,1,6.53000,0.02050,0.80
K2-251,1,1,6.12000,0.01930,0.52
K2-252,1,1,3.68000,0.01160,0.79
K2-253,1,1,,,1.08
K2-254,1,2,3.29000,0.01040,0.71
K2-254,1,2,5.43000,0.01710,0.71
K2-255,1,1,8.75000,0.02750,0.71
K2-256,1,1,7.41000,0.02330,0.84
K2-257,1,1,0.49800,0.00157,0.52
K2-258,1,1,9.27000,0.02920,1.21
K2-259,1,1,5.99000,0.01890,1.14
K2-26,1,1,7.61000,0.02390,0.56
K2-260,1,1,451.31860,1.42000,1.39
K2-261,1,1,70.87609,0.22300,1.10
K2-263,1,1,14.80000,0.04657,0.88
K2-264,1,2,5.61000,0.01760,0.50
K2-264,1,2,7.60000,0.02390,0.50
K2-268,1,2,2.57000,0.00809,0.84
K2-268,1,2,7.70000,0.02420,0.84
K2-269,1,1,3.09000,0.00972,1.16
K2-270,1,2,2.48000,0.00780,0.85
K2-270,1,2,9.01000,0.02830,0.85
K2-271,1,1,41.80000,0.13100,0.83
K2-272,1,1,8.80000,0.02770,0.81
K2-273,1,1,17.90000,0.05630,0.90
K2-274,1,1,5.48000,0.01720,0.81
K2-275,1,2,5.65000,0.01780,0.79
K2-275,1,2,6.08000,0.01910,0.79
K2-276,1,1,13.70000,0.04300,0.82
K2-277,1,1,4.94000,0.01550,1.02
K2-278,1,1,9.17000,0.02880,1.40
K2-279,1,1,1.92000,0.00606,0.79
K2-28,1,1,5.99000,0.01890,0.26
K2-280,1,1,45.60000,0.14400,1.11
K2-281,1,1,50.90000,0.16000,0.82
K2-282,1,2,8.35000,0.02630,0.95
K2-283,1,1,12.20000,0.03830,0.89
K2-284,1,1,8.15000,0.02560,0.63
K2-285,1,4,9.68000,0.03046,0.83
K2-285,1,4,15.68000,0.04933,0.83
K2-285,1,4,6.50000,0.02045,0.83
K2-285,1,4,10.70000,0.03367,0.83
K2-286,1,1,5.06000,0.01590,0.64
K2-287,1,1,100.11645,0.31500,1.06
K2-289,1,1,61.00000,0.19200,0.95
K2-291,1,1,6.49000,0.02042,0.93
K2-292,1,1,24.50000,0.07709,1.00
K2-293,1,1,6.57000,0.02070,0.96
K2-294,1,1,3.39000,0.01070,0.99
K2-295,1,1,106.47305,0.33500,0.74
K2-3,1,3,6.48000,0.02039,0.60
K2-3,1,3,2.14000,0.00673,0.60
K2-3,1,3,2.80000,0.00881,0.60
K2-30,1,1,184.02357,0.57900,0.90
K2-308,1,1,70.60000,0.22200,1.09
K2-315,1,1,0.80900,0.00254,0.17
K2-316,1,2,2.33000,0.00733,0.41
K2-316,1,2,4.01000,0.01260,0.41
K2-317,1,1,8.91000,0.02800,0.40
K2-318,1,1,3.39000,0.01070,0.56
K2-319,1,1,8.20000,0.02580,0.95
K2-320,1,1,7.37000,0.02320,0.12
K2-321,1,1,4.46000,0.01400,0.60
K2-322,1,1,4.35000,0.01370,0.63
K2-323,1,1,5.06000,0.01590,0.48
K2-324,1,1,6.48000,0.02040,0.52
K2-325,1,1,5.48000,0.01720,0.27
K2-326,1,1,5.82000,0.01830,0.51
K2-329,1,1,82.63580,0.26000,0.90
K2-33,1,1,1175.97100,3.70000,0.56
K2-34,1,1,539.67534,1.69800,1.15
K2-35,1,2,2.30000,0.00724,0.70
K2-35,1,2,4.38000,0.01380,0.70
K2-36,1,2,3.90000,0.01227,0.79
K2-36,1,2,7.80000,0.02454,0.79
K2-37,1,3,3.22000,0.01010,0.90
K2-37,1,3,8.00000,0.02520,0.90
K2-37,1,3,7.90000,0.02490,0.90
K2-38,1,2,19.06980,0.06000,2.24
K2-38,1,2,9.90000,0.03115,1.07
K2-39,1,1,28.60470,0.09000,0.66
K2-4,1,1,5.06000,0.01590,0.64
K2-42,1,1,5.27000,0.01660,0.70
K2-43,1,2,18.50000,0.05830,0.57
K2-43,1,2,6.44000,0.02030,0.57
K2-44,1,1,6.50000,0.02040,1.15
K2-45,1,1,36.40000,0.11400,0.50
K2-46,1,1,4.86000,0.01530,0.96
K2-47,1,1,4.23000,0.01330,0.75
K2-48,1,1,5.65000,0.01780,0.77
K2-49,1,1,4.38000,0.01380,0.51
K2-5,1,2,4.31000,0.01360,0.61
