sy_snum,sy_pnum,pl_orbper,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg
1,1,246.36000000,11.900,29.500000,0.345000,,,,0.07,,,
1,1,,30.264,0.693000,,2200,4371.00,0.27,0.33,,,4.00
1,1,5.20720000,14.300,0.261000,0.078000,1000,6500.00,1.78,1.44,,,4.10
1,1,6.79870000,1.047,5.510000,0.000000,,3648.00,0.28,0.29,-0.048,[Fe/H],5.00
1,1,28.16560000,1.870,3.500000,,,3587.00,0.37,0.41,,,4.78
1,1,2.13174000,0.692,4.310000,,,4991.00,0.55,0.78,-0.089,[M/H],4.63
1,1,2.04780000,0.908,5.050000,0.000000,,4520.00,0.66,0.73,-0.003,[Fe/H],4.66
1,1,4.16980000,1.040,5.470000,,,5053.00,0.63,0.80,0.000,[Fe/H],4.59
1,1,4.50756000,1.700,3.950000,,,5759.00,0.82,0.93,,,4.59
1,1,2.87814000,1.010,5.390000,,,3489.00,0.37,0.22,,,4.85
1,1,5.29711000,1.620,4.210000,,,4055.00,0.67,0.56,,,4.58
1,1,2.25372000,0.900,5.020000,,,3467.00,0.37,0.41,,,4.99
1,1,1.58252000,0.960,5.220000,,,4864.00,0.67,0.71,,,4.57
1,1,21.16986100,1.980,3.240000,0.060000,,4148.21,0.57,0.66,0.140,[Fe/H],4.65
1,1,19.49221000,5.760,0.650000,0.000000,817,6069.00,1.39,1.17,0.100,[Fe/H],4.22
1,1,2.28943000,1.323,5.480000,,,4987.49,0.75,0.83,,,4.58
1,1,18.09830000,2.170,2.880000,,,5782.33,1.22,1.11,,,4.30
1,1,34.88500000,1.600,4.280000,,,4982.79,0.76,0.91,,,4.61
1,1,15.28410000,1.120,5.710000,,,5864.75,0.98,0.95,-0.210,[Fe/H],4.54
1,1,3650.00000000,12.442,,0.000000,183,4898.00,2.70,0.90,-0.230,[Fe/H],3.52
1,1,,12.200,15.400000,,2375,2838.00,,0.05,,,
1,1,5.74600700,2.025,3.150000,0.000000,456,3348.00,0.31,0.29,0.040,[Fe/H],4.93
1,1,2.01800000,1.390,5.120000,0.000000,,3114.00,0.20,0.17,,,5.06
1,1,1.58040456,2.847,1.490000,0.000000,547,3026.00,0.22,0.15,0.390,[Fe/H],4.94
1,1,0.51823490,1.193,6.760000,0.000000,1089,3458.00,0.39,0.38,0.100,[Fe/H],4.89
1,1,3.65110000,2.630,2.240000,0.040000,,3236.00,0.19,0.18,-0.040,[Fe/H],5.09
1,1,5.23540000,3.170,1.760000,0.060000,,4347.00,0.66,0.69,,,4.61
1,1,2288.00000000,13.900,0.533000,0.210000,,3370.00,0.38,0.36,0.300,[Fe/H],4.83
1,1,69.97100000,4.170,1.230000,0.720000,,4069.95,0.71,0.62,,,4.48
1,1,14.23800000,1.830,3.590000,0.100000,351,3451.00,0.36,0.36,-0.030,[Fe/H],4.96
1,1,15.81900000,3.660,1.460000,0.080000,,3542.00,0.52,0.53,,,4.72
