pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
K2-189 c,K2-189,1,2,0,6.67919500,0.068000,2.500,0.223,6.80000,0.02140,M-R relationship,,,872,0,,5519.00,0.87,0.94,0.000,[Fe/H],-0.219,4.53,,2.07235,,,15.96,12.2538000
K2-19 b,K2-19,1,3,0,7.91940000,0.074000,7.740,0.691,28.50000,0.08967,Mass,0.119000,125.90,854,1,G9 V,5430.00,0.86,0.93,0.100,[Fe/H],-0.292,4.63,8.000,1.76000,2.0000,20.40,7.23,12.8153000
K2-19 c,K2-19,1,3,0,11.90715000,0.097100,4.860,0.434,15.90000,0.05003,Mass,0.000000,73.10,745,1,G9 V,5430.00,0.86,0.93,0.100,[Fe/H],-0.305,4.63,8.000,1.76000,2.0000,20.40,7.23,12.8153000
K2-19 d,K2-19,1,3,0,2.50856000,0.034400,1.140,0.102,14.00000,0.04405,Mass,0.000000,583.50,1252,1,G9 V,5430.00,0.86,0.93,0.100,[Fe/H],-0.305,4.63,8.000,1.76000,2.0000,20.40,7.23,12.8153000
K2-190 b,K2-190,1,2,0,10.09885800,,1.357,0.121,2.41000,0.00758,M-R relationship,,,,0,,5631.00,0.91,0.90,-0.190,[Fe/H],-0.068,4.38,,1.48160,,,-10.64,10.9586000
K2-190 c,K2-190,1,2,0,21.57402300,,1.093,0.098,1.34000,0.00421,M-R relationship,,,,0,,5631.00,0.91,0.90,-0.190,[Fe/H],-0.086,4.38,,1.48160,,,-10.64,10.9586000
K2-191 b,K2-191,1,1,0,2.85864600,,1.579,0.141,3.12000,0.00981,M-R relationship,,,,0,,5176.00,0.84,0.90,0.310,[Fe/H],-0.345,4.57,,1.65547,,,-7.23,12.9948000
K2-192 b,K2-192,1,1,0,4.16281700,0.049000,1.520,0.136,2.92000,0.00920,M-R relationship,,,939,0,,5222.00,0.81,0.90,0.150,[Fe/H],-0.360,4.57,,5.97500,,,0.95,12.4500000
K2-193 b,K2-193,1,1,0,14.78688900,0.118400,3.950,0.352,14.80000,0.04650,M-R relationship,,,739,0,,5817.00,0.98,1.01,0.000,[Fe/H],-0.076,4.46,,1.53200,,,,13.0947000
K2-194 b,K2-194,1,1,0,39.72138600,,3.642,0.325,12.90000,0.04050,M-R relationship,,,,0,,5979.00,1.28,1.11,0.100,[Fe/H],0.363,4.21,,0.75033,,,-7.95,12.8383000
K2-195 b,K2-195,1,2,0,15.85297500,0.120800,3.130,0.279,9.96000,0.03130,M-R relationship,,,720,0,,5713.00,0.99,0.94,-0.100,[Fe/H],-0.012,4.42,,1.09000,,,-14.45,12.3238000
K2-195 c,K2-195,1,2,0,28.48278600,,2.576,0.230,7.16000,0.02250,M-R relationship,,,,0,,5712.00,0.91,0.96,-0.090,[Fe/H],-0.053,4.55,,1.48050,,,-14.45,12.3238000
K2-196 b,K2-196,1,1,0,48.32422200,,3.600,0.321,12.60000,0.03970,M-R relationship,,,,0,,6045.00,1.54,1.16,0.010,[Fe/H],0.644,4.08,,0.19854,,,-28.27,11.9274000
K2-197 b,K2-197,1,1,0,8.35788100,0.080600,2.560,0.228,7.08000,0.02230,M-R relationship,,,848,0,,5667.00,0.93,1.00,0.080,[Fe/H],-0.114,4.50,,1.16000,,,-7.88,11.9937000
K2-198 b,K2-198,1,3,0,17.04286830,,4.189,0.374,16.30000,0.05140,M-R relationship,,,716,0,,5212.90,0.76,0.80,0.094,[M/H],-0.401,4.60,,2.59636,,,2.07,10.9955000
K2-198 c,K2-198,1,3,0,3.35960550,,1.423,0.127,2.61000,0.00822,M-R relationship,,,1230,0,,5212.90,0.76,0.80,0.094,[M/H],-0.401,4.60,,2.59636,,,2.07,10.9955000
K2-198 d,K2-198,1,3,0,7.45001770,,2.438,0.218,6.52000,0.02050,M-R relationship,,,943,0,,5212.90,0.76,0.80,0.094,[M/H],-0.401,4.60,,2.59636,,,2.07,10.9955000
K2-199 b,K2-199,1,2,0,3.22533800,0.038500,1.870,0.167,4.16000,0.01310,M-R relationship,,,861,0,,4648.00,0.68,0.73,-0.110,[Fe/H],-0.721,4.64,,2.92839,,,1.07,11.9053000
K2-199 c,K2-199,1,2,0,7.37469400,0.066800,2.780,0.248,8.15000,0.02560,M-R relationship,,,653,0,,4648.00,0.68,0.73,-0.110,[Fe/H],-0.721,4.64,,2.92839,,,1.07,11.9053000
K2-200 b,K2-200,1,1,0,2.84988300,,1.364,0.122,2.43000,0.00766,M-R relationship,,,,0,,5233.00,0.79,0.86,-0.040,[Fe/H],-0.429,4.71,,2.23187,,,-15.33,12.2315000
K2-201 b,K2-201,1,2,0,1.05979000,,1.400,0.125,2.54000,0.00800,M-R relationship,,,,0,,5507.00,0.88,0.96,0.130,[Fe/H],-0.276,4.68,,1.87336,,,,11.9432000
K2-201 c,K2-201,1,2,0,22.77987800,,3.286,0.293,10.80000,0.03400,M-R relationship,,,,0,,5507.00,0.88,0.96,0.130,[Fe/H],-0.276,4.68,,1.87336,,,,11.9432000
K2-202 b,K2-202,1,1,0,3.40516400,,2.302,0.205,5.91000,0.01860,M-R relationship,,,,0,,5491.00,0.91,0.97,0.270,[Fe/H],-0.335,4.55,,1.75012,,,28.10,13.0435000
K2-203 b,K2-203,1,1,0,9.69510100,,1.371,0.122,2.45000,0.00772,M-R relationship,,,,0,,5000.00,0.76,0.79,-0.070,[Fe/H],-0.485,4.43,,2.65477,,,20.19,12.1219000
K2-204 b,K2-204,1,1,0,7.05578400,,3.046,0.272,9.51000,0.02990,M-R relationship,,,,0,,5755.00,1.18,1.01,0.070,[Fe/H],0.253,4.23,,0.70142,,,,12.8893000
K2-205 b,K2-205,1,1,0,26.67226300,,1.996,0.178,4.64000,0.01460,M-R relationship,,,,0,,5890.00,1.08,0.95,-0.260,[Fe/H],0.194,4.25,,0.75459,,,19.70,12.2509000
K2-206 b,K2-206,1,1,0,18.29454900,,2.795,0.249,8.22000,0.02590,M-R relationship,,,,0,,5043.00,0.76,0.79,-0.140,[Fe/H],-0.435,4.46,,2.39350,,,27.24,12.8274000
K2-207 b,K2-207,1,1,0,12.48749000,,2.606,0.232,7.30000,0.02300,M-R relationship,,,,0,,5522.00,0.93,0.94,0.110,[Fe/H],-0.173,4.41,,1.85898,,,-4.39,12.9687000
K2-208 b,K2-208,1,1,0,4.19094800,,1.679,0.150,3.46000,0.01090,M-R relationship,,,,0,,5582.00,0.86,0.93,-0.110,[Fe/H],-0.214,4.62,,2.17698,,,11.59,12.3135000
K2-209 b,K2-209,1,1,0,2.08061500,,0.869,0.077,0.58600,0.00184,M-R relationship,,,,0,,4720.00,0.71,0.74,-0.060,[Fe/H],-0.588,4.46,,2.25118,,,-26.20,10.7447000
K2-21 b,K2-21,1,2,0,9.32503800,0.076000,1.840,0.164,4.04000,0.01270,M-R relationship,0.100000,10.00,500,0,M0.0,4222.06,0.65,0.68,-0.110,[Fe/H],-0.985,4.83,1.000,3.16760,,,4.80,12.2785000
K2-21 c,K2-21,1,2,0,15.50192000,0.107000,2.490,0.222,6.76000,0.02130,M-R relationship,0.210000,5.10,420,0,M0.0,4222.06,0.65,0.68,-0.110,[Fe/H],-0.985,4.83,1.000,3.16760,,,4.80,12.2785000
K2-210 b,K2-210,1,1,0,0.57023300,,0.819,0.073,0.47400,0.00149,M-R relationship,,,,0,,5396.00,0.85,0.91,0.050,[Fe/H],-0.249,4.55,,1.94223,,,0.09,11.5845000
K2-211 b,K2-211,1,1,0,0.66955800,,1.375,0.123,2.46000,0.00775,M-R relationship,,,,0,,5221.00,0.82,0.88,0.110,[Fe/H],-0.386,4.60,,2.38468,,,-13.57,12.9329000
K2-212 b,K2-212,1,1,0,9.79551000,0.078500,2.520,0.225,6.90000,0.02170,M-R relationship,,,542,0,,4272.00,0.65,0.67,0.030,[Fe/H],-0.910,4.64,,4.44500,,,-6.84,12.5500000
K2-213 b,K2-213,1,1,0,8.13087000,,1.514,0.135,2.90000,0.00913,M-R relationship,,,,0,,5794.00,1.20,1.07,0.250,[Fe/H],0.247,4.25,,0.64207,,,-6.30,12.0409000
K2-214 b,K2-214,1,1,0,8.59680200,0.083400,2.430,0.217,6.48000,0.02040,M-R relationship,,,1006,0,,5854.00,1.27,1.05,0.050,[Fe/H],0.196,4.25,,1.08000,,,-17.07,11.5990000
K2-215 b,K2-215,1,1,0,8.26964800,,2.124,0.189,5.16000,0.01620,M-R relationship,,,,0,,5704.00,0.97,1.00,0.110,[Fe/H],-0.026,4.41,,1.34077,,,,12.8302000
K2-216 b,K2-216,1,1,0,2.17480000,0.028000,1.750,0.156,8.00000,0.02517,Mass,0.000000,248.00,1103,0,K5 V,4503.00,0.72,0.70,0.000,[Fe/H],-0.721,4.57,,2.30000,1.8000,,-26.16,12.0576000
K2-217 b,K2-217,1,1,0,14.07452400,,3.579,0.319,12.50000,0.03930,M-R relationship,,,,0,,5967.00,1.33,1.10,0.040,[Fe/H],0.232,4.17,,0.77473,,,-5.95,12.0279000
K2-218 b,K2-218,1,1,0,8.67988500,,2.569,0.229,7.13000,0.02240,M-R relationship,,,,0,,5757.00,1.01,1.05,0.250,[Fe/H],-0.003,4.45,,1.21277,,,-0.34,12.7137000
K2-219 b,K2-219,1,3,0,3.90128700,,1.348,0.120,2.38000,0.00750,M-R relationship,,,,0,,5753.00,1.19,1.02,0.130,[Fe/H],0.151,4.23,,0.72546,,,-19.96,11.9110000
K2-219 c,K2-219,1,3,0,6.66767000,,1.438,0.128,2.66000,0.00837,M-R relationship,,,,0,,5753.00,1.19,1.02,0.130,[Fe/H],0.151,4.23,,0.72546,,,-19.96,11.9110000
K2-219 d,K2-219,1,3,0,11.13727800,,2.576,0.230,7.16000,0.02250,M-R relationship,,,,0,,5753.00,1.19,1.02,0.130,[Fe/H],0.151,4.23,,0.72546,,,-19.96,11.9110000
K2-220 b,K2-220,1,1,0,13.68325600,0.110400,2.390,0.213,6.30000,0.01980,M-R relationship,,,758,0,,5660.00,1.02,0.96,0.040,[Fe/H],-0.061,4.40,,3.06100,,,13.88,11.7214000
K2-221 b,K2-221,1,1,0,2.39909400,,1.679,0.150,3.46000,0.01090,M-R relationship,,,,0,,5716.00,0.95,1.01,0.130,[Fe/H],-0.064,4.57,,1.28588,,,8.70,12.4149000
K2-222 b,K2-222,1,1,0,15.38706300,0.121100,2.390,0.213,6.30000,0.01980,M-R relationship,,,801,0,,6058.00,1.09,1.00,-0.210,[Fe/H],0.139,4.37,,1.25000,,,1.48,9.3607200
K2-223 b,K2-223,1,2,0,0.50565000,0.012700,0.890,0.079,0.64000,0.00201,M-R relationship,,,2271,0,,5835.00,0.99,1.06,0.120,[Fe/H],0.000,4.48,,1.55082,,,9.40,11.2736000
K2-223 c,K2-223,1,2,0,4.56327000,0.054900,1.570,0.140,3.09000,0.00972,M-R relationship,,,1091,0,,5835.00,0.99,1.06,0.120,[Fe/H],0.000,4.48,,1.55082,,,9.40,11.2736000
K2-224 b,K2-224,1,2,0,4.47904000,0.051600,1.560,0.139,3.05000,0.00961,M-R relationship,,,1002,0,,5620.00,0.84,0.91,-0.190,[Fe/H],-0.217,4.55,,2.73527,,,-17.66,12.5216000
K2-224 c,K2-224,1,2,0,10.09489000,0.088600,2.410,0.215,6.39000,0.02010,M-R relationship,,,764,0,,5620.00,0.84,0.91,-0.190,[Fe/H],-0.217,4.55,,2.73527,,,-17.66,12.5216000
K2-225 b,K2-225,1,1,0,15.87209000,0.134000,3.490,0.311,12.00000,0.03770,M-R relationship,,,902,0,,5742.00,1.70,1.27,0.380,[Fe/H],0.433,4.08,,0.21992,,,42.10,11.5203000
K2-226 b,K2-226,1,1,0,3.27108000,0.041300,1.540,0.137,2.99000,0.00940,M-R relationship,,,1120,0,,5424.00,0.91,0.88,-0.030,[Fe/H],-0.246,4.47,,1.72343,,,16.92,12.0917000
K2-227 b,K2-227,1,1,0,13.62183200,,1.666,0.149,3.41000,0.01070,M-R relationship,,,,0,,5673.00,0.89,0.95,-0.100,[Fe/H],-0.167,4.58,,1.66362,,,2.74,11.4954000
K2-228 b,K2-228,1,1,0,2.69828000,0.033800,1.210,0.108,1.92000,0.00606,M-R relationship,,,914,0,,4715.00,0.65,0.71,-0.250,[Fe/H],-0.849,4.66,,4.35191,,,-2.86,12.6527000
K2-229 b,K2-229,1,2,0,0.58426000,0.013100,1.140,0.102,2.49000,0.00783,Mass,0.000000,,1818,0,G9,5315.00,0.79,0.87,-0.090,[Fe/H],-0.383,4.59,5.400,2.38000,2.4600,18.10,,10.7861000
K2-229 c,K2-229,1,2,0,8.32727000,0.076900,2.030,0.181,21.30000,0.06702,Mass,0.000000,,750,0,G9,5315.00,0.79,0.87,-0.090,[Fe/H],-0.383,4.59,5.400,2.55757,2.4600,18.10,,10.7861000
K2-230 b,K2-230,1,1,0,2.86041000,0.040900,1.960,0.175,4.50000,0.01420,M-R relationship,,,1529,0,,5945.00,1.39,1.11,0.100,[Fe/H],0.339,4.20,,0.64706,5.2000,,-20.61,12.5751000
K2-231 b,K2-231,1,1,0,13.84190100,,2.500,0.223,6.80000,0.02140,M-R relationship,,,,0,,5695.00,0.95,1.01,0.140,[Fe/H],-0.112,4.48,3.000,1.21128,2.0000,,41.58,12.5593000
K2-232 b,K2-232,1,1,0,11.16845400,0.103560,11.209,1.000,126.49634,0.39800,Mass,0.258000,,1030,0,,6154.00,1.16,1.19,0.100,[Fe/H],0.238,4.38,1.430,0.78200,4.1600,,,9.7262600
K2-233 b,K2-233,1,3,0,2.46746000,0.033170,1.398,0.125,2.54000,0.00798,M-R relationship,0.000000,273.00,1040,0,K3,4950.00,0.74,0.80,0.070,[Fe/H],-0.523,4.71,0.360,2.68886,4.5000,9.75,-9.73,10.4191000
K2-233 c,K2-233,1,3,0,7.06142000,0.066870,1.335,0.119,2.34000,0.00738,M-R relationship,0.000000,67.10,728,0,K3,4950.00,0.74,0.80,0.070,[Fe/H],-0.523,4.71,0.360,2.68886,4.5000,9.75,-9.73,10.4191000
K2-233 d,K2-233,1,3,0,24.36620000,0.152700,2.640,0.236,7.46000,0.02350,M-R relationship,0.000000,12.90,482,0,K3,4950.00,0.74,0.80,0.070,[Fe/H],-0.523,4.71,0.360,2.68886,4.5000,9.75,-9.73,10.4191000
K2-237 b,K2-237,1,1,0,2.18055770,0.035300,18.405,1.642,392.83788,1.23600,Mass,0.000000,,1838,0,F9 V,6099.00,1.38,1.23,0.000,[Fe/H],0.285,4.27,2.550,0.66300,12.0000,5.07,-22.47,11.4668000
K2-238 b,K2-238,1,1,0,3.20466000,0.046000,14.572,1.300,273.33380,0.86000,Mass,0.000000,,1587,0,G2 V,5630.00,1.59,1.19,0.340,[Fe/H],0.360,4.11,5.630,0.07750,3.7800,,,13.6635000
K2-239 b,K2-239,1,3,0,5.24000000,0.044100,1.100,0.098,1.37000,0.00430,M-R relationship,,,502,0,M3.0 V,3420.00,0.36,0.40,-0.100,[Fe/H],-1.796,4.90,,19.15052,,,,13.4367000
K2-239 c,K2-239,1,3,0,7.77500000,0.057600,1.000,0.089,0.97200,0.00306,M-R relationship,,,427,0,M3.0 V,3420.00,0.36,0.40,-0.100,[Fe/H],-1.796,4.90,,19.15052,,,,13.4367000
K2-239 d,K2-239,1,3,0,10.11500000,0.068500,1.100,0.098,1.37000,0.00430,M-R relationship,,,399,0,M3.0 V,3420.00,0.36,0.40,-0.100,[Fe/H],-1.796,4.90,,19.15052,,,,13.4367000
K2-24 b,K2-24,1,2,0,20.88977000,0.154000,5.400,0.482,19.00000,0.05978,Mass,0.060000,60.10,709,1,G9 V,5625.00,1.16,1.07,0.340,[Fe/H],0.158,4.29,5.100,0.89000,2.0000,,1.18,10.9072000
K2-24 c,K2-24,1,2,0,42.33910000,0.247000,7.500,0.669,15.40000,0.04845,Mass,0.070000,23.40,560,1,G9 V,5625.00,1.16,1.07,0.340,[Fe/H],0.158,4.29,5.100,0.89000,2.0000,,1.18,10.9072000
K2-240 b,K2-240,1,2,0,6.03400000,0.051300,2.000,0.178,4.66000,0.01470,M-R relationship,,,586,0,M0.5 V,3810.00,0.54,0.58,-0.100,[Fe/H],-1.276,4.70,,4.32946,,10.80,0.61,12.6212000
K2-240 c,K2-240,1,2,0,20.52300000,0.115900,1.800,0.161,3.89000,0.01230,M-R relationship,,,389,0,M0.5 V,3810.00,0.54,0.58,-0.100,[Fe/H],-1.276,4.70,,4.32946,,10.80,0.61,12.6212000
K2-241 b,K2-241,1,1,0,26.81990000,0.156700,2.550,0.227,7.04000,0.02210,M-R relationship,,,507,0,,5262.00,0.75,0.71,-0.440,[Fe/H],-0.441,4.54,,3.10999,2.0800,,-8.68,11.7562000
K2-242 b,K2-242,1,1,0,6.51389000,0.049400,2.540,0.227,6.99000,0.02200,M-R relationship,,,416,0,,3459.00,0.37,0.38,-0.010,[Fe/H],-1.808,4.89,,10.34168,,,,15.3818000
K2-243 b,K2-243,1,2,0,11.54182000,0.108700,2.170,0.194,5.35000,0.01680,M-R relationship,,,1035,0,,6570.00,1.39,1.29,-0.030,[Fe/H],0.446,4.26,,0.35249,,,5.79,10.7424000
K2-243 c,K2-243,1,2,0,24.94598000,0.181700,2.010,0.179,4.70000,0.01480,M-R relationship,,,801,0,,6570.00,1.39,1.29,-0.030,[Fe/H],0.446,4.26,,0.35249,,,5.79,10.7424000
K2-244 b,K2-244,1,1,0,21.06884000,0.141800,1.750,0.156,3.71000,0.01170,M-R relationship,,,638,0,,5677.00,0.92,0.86,-0.290,[Fe/H],-0.097,4.44,,2.11530,3.6900,,-19.25,11.6317000
K2-245 b,K2-245,1,1,0,11.89307000,0.095900,4.340,0.387,17.40000,0.05460,M-R relationship,,,923,0,,5793.00,1.25,0.83,-0.450,[Fe/H],0.193,4.16,,1.01870,4.6200,,29.75,12.5639000
K2-246 b,K2-246,1,1,0,5.76918000,0.060200,3.490,0.311,12.00000,0.03770,M-R relationship,,,977,0,,5610.00,0.94,0.87,-0.190,[Fe/H],-0.141,4.43,,1.68077,2.9000,,,14.3512000
K2-247 b,K2-247,1,2,0,2.25021000,0.030400,2.120,0.189,5.14000,0.01620,M-R relationship,,,979,0,,4667.00,0.69,0.74,-0.080,[Fe/H],-0.833,4.63,,2.03810,,,,14.3583000
K2-247 c,K2-247,1,2,0,6.49424000,0.061500,2.190,0.195,5.43000,0.01710,M-R relationship,,,688,0,,4667.00,0.69,0.74,-0.080,[Fe/H],-0.833,4.63,,2.03810,,,,14.3583000
K2-248 b,K2-248,1,1,0,7.17256000,0.069900,2.570,0.229,7.13000,0.02240,M-R relationship,,,886,0,,5528.00,0.92,0.88,-0.100,[Fe/H],-0.171,4.45,,1.82647,2.6000,,,13.2616000
K2-249 b,K2-249,1,1,0,12.40900000,0.115100,2.790,0.249,8.20000,0.02580,M-R relationship,,,1061,0,,6504.00,1.57,1.32,0.040,[Fe/H],0.366,4.16,,0.31728,,,-23.71,12.4497000
K2-25 b,K2-25,1,1,0,3.48455200,,3.430,0.306,11.60000,0.03660,M-R relationship,0.270000,,,0,M4.5,3180.00,0.29,0.29,0.150,[Fe/H],-2.076,4.94,,15.90000,7.8000,,38.64,14.3817000
K2-250 b,K2-250,1,1,0,4.01457000,0.045900,2.440,0.218,6.53000,0.02050,M-R relationship,,,958,0,,5172.00,0.81,0.80,-0.090,[Fe/H],-0.404,4.53,,1.89682,2.2000,,,13.9725000
K2-251 b,K2-251,1,1,0,9.30075000,0.069400,2.350,0.210,6.12000,0.01930,M-R relationship,,,437,0,,3717.00,0.49,0.52,-0.040,[Fe/H],-1.415,4.76,,5.74380,,,,14.7702000
K2-252 b,K2-252,1,1,0,13.81513000,0.104100,1.740,0.155,3.68000,0.01160,M-R relationship,,,639,0,,5152.00,0.82,0.79,-0.090,[Fe/H],-0.402,4.50,,2.04024,2.2000,,13.72,12.6201000
K2-253 b,K2-253,1,1,0,4.00167000,0.050600,12.670,1.130,,,Msini,,,1238,0,,6027.00,1.10,1.08,0.000,[Fe/H],-0.072,4.39,,1.01569,,,,14.7042000
K2-254 b,K2-254,1,2,0,4.09639000,0.044800,1.630,0.145,3.29000,0.01040,M-R relationship,,,791,0,,4629.00,0.67,0.71,-0.140,[Fe/H],-0.765,4.64,,2.71073,,,,13.7427000
K2-254 c,K2-254,1,2,0,12.11839000,0.092300,2.190,0.195,5.43000,0.01710,M-R relationship,,,551,0,,4629.00,0.67,0.71,-0.140,[Fe/H],-0.765,4.64,,2.71073,,,,13.7427000
K2-255 b,K2-255,1,1,0,1.96417000,0.027400,2.900,0.259,8.75000,0.02750,M-R relationship,,,1034,0,,4676.00,0.69,0.71,-0.140,[Fe/H],-0.720,4.62,,1.94835,2.4600,,,13.3087000
K2-256 b,K2-256,1,1,0,5.52011000,0.057800,2.630,0.235,7.41000,0.02330,M-R relationship,,,845,0,,5219.00,0.78,0.84,-0.100,[Fe/H],-0.465,4.58,,3.60257,,,,14.6992000
K2-257 b,K2-257,1,1,0,1.60588000,0.021600,0.830,0.074,0.49800,0.00157,M-R relationship,,,789,0,,3725.00,0.50,0.52,-0.030,[Fe/H],-1.381,4.76,,5.56654,,,12.59,12.8602000
K2-258 b,K2-258,1,1,0,19.09210000,0.149000,3.000,0.268,9.27000,0.02920,M-R relationship,,,831,0,,6351.00,1.31,1.21,0.010,[Fe/H],0.272,4.29,,0.56600,,,,13.1388000
K2-259 b,K2-259,1,1,0,15.48043000,0.127100,2.320,0.207,5.99000,0.01890,M-R relationship,,,795,0,,6059.00,1.13,1.14,0.160,[Fe/H],0.179,4.39,,1.00719,5.2300,,,12.3750000
K2-26 b,K2-26,1,1,0,14.56650000,0.096200,2.670,0.238,7.61000,0.02390,M-R relationship,,5.80,430,0,M1.0 V,3785.00,0.52,0.56,-0.130,[Fe/H],-1.310,4.72,1.000,3.92000,,,95.34,13.7519000
K2-260 b,K2-260,1,1,0,2.62666570,0.040400,17.396,1.552,451.31860,1.42000,Mass,0.000000,,1957,0,F6 V,6367.00,1.69,1.39,-0.140,[Fe/H],0.543,4.15,1.900,0.40050,16.0000,,29.07,12.4667000
K2-261 b,K2-261,1,1,0,11.63344000,0.102000,9.528,0.850,70.87609,0.22300,Mass,0.390000,,1080,0,G7 IV/V,5537.00,1.65,1.10,0.360,[Fe/H],0.372,4.21,8.800,0.35000,2.8000,,3.28,10.4594000
K2-263 b,K2-263,1,1,0,50.81894700,0.257300,2.410,0.215,14.80000,0.04657,Mass,0.140000,,470,0,G9 V,5368.00,0.85,0.88,-0.080,[m/H],-0.260,4.51,7.000,2.02000,2.0000,,30.00,11.4055000
K2-264 b,K2-264,1,2,0,5.84000200,0.050230,2.231,0.199,5.61000,0.01760,M-R relationship,0.500000,,496,0,M2.5 V,3660.00,0.47,0.50,-0.013,[Fe/H],-1.481,4.78,,6.61000,,22.20,26.00,15.6625000
K2-264 c,K2-264,1,2,0,19.66030200,0.112830,2.668,0.238,7.60000,0.02390,M-R relationship,0.450000,,331,0,M2.5 V,3660.00,0.47,0.50,-0.013,[Fe/H],-1.481,4.78,,6.61000,,22.20,26.00,15.6625000
K2-268 b,K2-268,1,2,0,2.15189400,0.030800,1.410,0.126,2.57000,0.00809,M-R relationship,,,1121,0,,5068.00,0.78,0.84,0.030,[Fe/H],-0.471,4.59,,2.29940,,,,13.5627000
K2-268 c,K2-268,1,2,0,9.32684100,0.081900,2.690,0.240,7.70000,0.02420,M-R relationship,,,688,0,,5068.00,0.78,0.84,0.030,[Fe/H],-0.429,4.59,,2.29940,,,,13.5627000
K2-269 b,K2-269,1,1,0,4.14496500,0.053100,1.570,0.140,3.09000,0.00972,M-R relationship,,,1429,0,,6209.00,1.45,1.16,-0.080,[Fe/H],0.468,4.18,,1.13000,,,-3.20,11.3770000
K2-270 b,K2-270,1,2,0,1.54306900,0.024700,1.380,0.123,2.48000,0.00780,M-R relationship,,,1203,0,,4877.00,0.77,0.85,0.260,[Fe/H],-0.558,4.59,,1.88623,,,,13.4701000
K2-270 c,K2-270,1,2,0,4.40002800,0.049700,2.950,0.263,9.01000,0.02830,M-R relationship,,,848,0,,4877.00,0.77,0.85,0.260,[Fe/H],-0.518,4.59,,1.88623,,,,13.4701000
K2-271 b,K2-271,1,1,0,8.56242100,0.077000,7.280,0.649,41.80000,0.13100,M-R relationship,,,893,0,,5644.00,0.99,0.83,-0.300,[Fe/H],-0.050,4.37,,2.28400,,,,13.6582000
K2-272 b,K2-272,1,1,0,14.45353300,0.108100,2.910,0.260,8.80000,0.02770,M-R relationship,,,655,0,,5419.00,0.81,0.81,-0.280,[Fe/H],-0.302,4.53,,2.57700,,,,13.6668000
K2-273 b,K2-273,1,1,0,11.71633200,0.097400,4.420,0.394,17.90000,0.05630,M-R relationship,,,672,0,,5200.00,0.84,0.90,0.200,[Fe/H],-0.353,4.55,,0.03700,,,,13.1461000
K2-274 b,K2-274,1,1,0,14.12971400,0.106400,2.200,0.196,5.48000,0.01720,M-R relationship,,,589,0,,5065.00,0.74,0.81,-0.130,[Fe/H],-0.509,4.61,,2.98000,,,,12.8852000
K2-275 b,K2-275,1,2,0,3.28096100,0.040000,2.240,0.200,5.65000,0.01780,M-R relationship,,,905,0,,4812.00,0.73,0.79,0.000,[Fe/H],-0.593,4.61,,2.73722,,,-7.35,11.8139000
K2-275 c,K2-275,1,2,0,8.43875600,0.075000,2.340,0.209,6.08000,0.01910,M-R relationship,,,660,0,,4812.00,0.73,0.79,0.000,[Fe/H],-0.593,4.61,,2.73722,,,-7.35,11.8139000
K2-276 b,K2-276,1,1,0,18.71826900,0.129100,3.770,0.336,13.70000,0.04300,M-R relationship,,,583,0,,5139.00,0.85,0.82,0.070,[Fe/H],-0.405,4.49,,0.50500,,,,14.3792000
K2-277 b,K2-277,1,1,0,6.32676300,0.067500,2.070,0.185,4.94000,0.01550,M-R relationship,,,958,0,,5741.00,0.97,1.02,0.110,[Fe/H],-0.052,4.48,,6.93600,,,7.52,10.1214000
K2-278 b,K2-278,1,1,0,3.33496600,0.048800,2.980,0.266,9.17000,0.02880,M-R relationship,,,1711,0,,6747.00,1.61,1.40,0.000,[Fe/H],0.399,4.17,,0.41300,,,,13.2538000
K2-279 b,K2-279,1,1,0,7.12260500,0.067000,1.210,0.108,1.92000,0.00606,M-R relationship,,,879,0,,5558.00,0.86,0.79,-0.370,[Fe/H],-0.205,4.46,,1.13000,,,3.29,11.5907000
K2-28 b,K2-28,1,1,0,2.26045500,0.021400,2.320,0.207,5.99000,0.01890,M-R relationship,0.000000,30.10,568,0,M4,3214.00,0.29,0.26,0.260,[Fe/H],-1.940,4.93,,15.20000,,,,14.6799000
K2-280 b,K2-280,1,1,0,19.89520200,0.148800,7.670,0.684,45.60000,0.14400,M-R relationship,,,744,0,,5742.00,1.28,1.11,0.300,[Fe/H],0.140,4.26,,0.25900,,,-0.15,12.3604000
K2-281 b,K2-281,1,1,0,8.68772100,0.077300,8.180,0.730,50.90000,0.16000,M-R relationship,,,665,0,,4812.00,0.76,0.82,0.220,[Fe/H],-0.647,4.59,,4.35400,,,,14.7677000
K2-282 b,K2-282,1,2,0,4.16983600,0.049900,2.820,0.252,8.35000,0.02630,M-R relationship,,,1057,0,,5523.00,0.94,0.95,0.150,[Fe/H],-0.215,4.47,,1.44200,,,,13.8183000
K2-283 b,K2-283,1,1,0,1.92103600,0.029100,3.520,0.314,12.20000,0.03830,M-R relationship,,,1186,0,,5060.00,0.82,0.89,0.280,[Fe/H],-0.524,4.56,,2.86100,,,,14.1316000
