pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_age,st_dens,sy_dist
61 Vir b,61 Vir,1,3,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,0.120000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.960,1.44933,8.5033200
61 Vir c,61 Vir,1,3,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,0.140000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.960,1.44933,8.5033200
61 Vir d,61 Vir,1,3,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,0.350000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.960,1.44933,8.5033200
7 CMa b,7 CMa,1,2,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,0.060000,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],4.300,,19.8101000
7 CMa c,7 CMa,1,2,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,0.080000,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],4.300,,19.8101000
70 Vir b,70 Vir,1,1,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,0.398800,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],7.770,0.19024,17.9011000
75 Cet b,75 Cet,2,1,691.90000000,2.100000,13.100,1.170,953.49000,3.00000,0.117000,G3 III,4846.00,10.50,2.49,0.000,[Fe/H],,,82.9613000
8 UMi b,8 UMi,1,1,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,0.060000,K0,4847.00,10.30,1.44,-0.030,[Fe/H],1.700,,162.5520000
81 Cet b,81 Cet,1,1,952.70000000,2.500000,12.800,1.140,1684.40000,5.30000,0.206000,G5 III,4785.00,11.00,2.40,-0.060,[Fe/H],,,101.2600000
91 Aqr b,91 Aqr,3,1,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,0.027000,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],3.560,,44.0304000
AB Pic b,AB Pic,1,1,,260.000000,12.300,1.100,4290.50000,13.50000,,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],0.030,1.12014,50.0475000
AU Mic b,AU Mic,1,1,8.46321000,0.066000,4.203,0.375,57.20940,0.18000,0.100000,M1VE,3700.00,0.75,0.50,,,0.022,2.74466,9.7221000
BD+03 2562 b,BD+03 2562,1,1,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,0.200000,,4095.00,32.35,1.14,-0.710,[Fe/H],5.200,,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,0.290000,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],,1.73113,49.3520000
BD+15 2375 b,BD+15 2375,1,1,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,0.001000,G5,4649.00,8.95,1.08,-0.220,[Fe/H],7.410,,768.0450000
BD+15 2940 b,BD+15 2940,1,1,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,0.260000,K0,4796.00,14.70,1.10,0.280,[Fe/H],7.100,,426.4200000
BD+20 2457 b,BD+20 2457,1,2,379.63000000,1.050000,11.600,1.030,17668.16970,55.59000,0.150000,K2 II,4259.00,71.02,10.83,-0.790,[Fe/H],,,1539.7100000
BD+20 2457 c,BD+20 2457,1,2,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,0.180000,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],,,1539.7100000
BD+20 274 b,BD+20 274,1,1,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,0.210000,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],,,1322.5100000
BD+20 594 b,BD+20 594,1,1,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,0.000000,G,5766.00,1.08,1.67,-0.150,[Fe/H],3.340,1.89000,179.4610000
BD+48 738 b,BD+48 738,1,1,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,0.200000,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],,,871.4930000
BD+48 740 b,BD+48 740,1,1,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,0.760000,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],,,666.5890000
BD+49 828 b,BD+49 828,1,1,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,0.350000,K0,4943.00,7.60,1.52,-0.190,[Fe/H],2.340,,442.0420000
BD-06 1339 b,BD-06 1339,1,2,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,0.000000,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],4.400,2.74700,20.2695000
BD-06 1339 c,BD-06 1339,1,2,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,0.310000,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],4.400,2.74700,20.2695000
BD-08 2823 b,BD-08 2823,1,2,5.60000000,0.060000,3.610,0.322,12.71320,0.04000,0.150000,K3 V,4816.00,0.71,0.50,-0.060,[Fe/H],4.500,3.31801,41.3342000
BD-08 2823 c,BD-08 2823,1,2,237.60000000,0.680000,12.500,1.110,104.00000,0.33000,0.190000,K3 V,4746.00,0.72,0.74,-0.070,[Fe/H],4.500,3.31801,41.3342000
BD-10 3166 b,BD-10 3166,1,1,3.48777000,0.040000,14.100,1.260,187.51970,0.59000,0.020000,K0 V,5393.00,0.91,1.47,0.380,[Fe/H],1.000,1.53276,84.4069000
BD-11 4672 b,BD-11 4672,1,2,1634.00000000,2.360000,14.100,1.250,206.58950,0.65000,0.050000,K7 V,4550.00,0.64,0.65,-0.350,[Fe/H],7.400,3.53000,27.1665000
BD-11 4672 c,BD-11 4672,1,2,74.20000000,0.300000,4.040,0.360,15.37000,0.04836,0.400000,K7V,4550.00,0.64,0.65,-0.350,[Fe/H],7.400,3.53000,27.1665000
BD-13 2130 b,BD-13 2130,1,1,714.29999000,1.660000,12.500,1.110,3108.37740,9.78000,0.210000,G5 IV/V,4545.00,19.17,2.12,-0.080,[Fe/H],0.740,,925.2140000
BD-17 63 b,BD-17 63,1,1,655.60000000,1.340000,12.800,1.150,1620.90000,5.10000,0.540000,K5 V,4714.00,0.69,0.74,-0.030,[Fe/H],4.300,2.75844,34.4603000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.50000000,2.600000,12.400,1.110,3337.10000,10.50000,,,580.50,,0.02,,,,,23.1000000
CHXR 73 b,CHXR 73,1,1,,210.000000,12.300,1.100,3994.48600,12.56900,,M3.5,3099.00,,0.35,,,0.002,,190.3740000
CI Tau b,CI Tau,1,1,8.98910000,,12.400,1.110,3686.82800,11.60000,0.250000,K7,3807.00,1.88,0.90,,,0.003,,157.9980000
CT Cha b,CT Cha,1,1,,440.000000,24.660,2.200,5403.00000,17.00000,,K5e,4403.00,1.68,,-0.560,[Fe/H],0.002,,190.7200000
CoRoT-1 b,CoRoT-1,1,1,1.50895570,0.027520,16.700,1.490,327.35000,1.03000,0.000000,G0 V,5950.00,1.11,0.95,-0.300,[M/H],1.600,0.93000,787.9090000
CoRoT-10 b,CoRoT-10,1,1,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,0.530000,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],3.000,3.32000,338.3860000
CoRoT-11 b,CoRoT-11,1,1,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,0.000000,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],2.000,0.69000,655.0370000
CoRoT-12 b,CoRoT-12,1,1,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,0.070000,,5675.00,1.12,1.08,0.160,[Fe/H],6.300,1.08000,1126.3700000
CoRoT-13 b,CoRoT-13,1,1,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,0.000000,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],1.635,1.46800,1148.9300000
CoRoT-14 b,CoRoT-14,1,1,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,0.000000,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],4.200,0.91000,1744.6000000
CoRoT-16 b,CoRoT-16,1,1,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,0.330000,G5 V,5650.00,1.19,1.10,0.190,[M/H],6.730,0.93000,732.4090000
CoRoT-17 b,CoRoT-17,1,1,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,0.000000,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],10.700,0.32000,1176.1200000
CoRoT-18 b,CoRoT-18,1,1,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,0.080000,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],0.032,1.35000,764.8890000
CoRoT-19 b,CoRoT-19,1,1,3.89713000,0.051800,14.460,1.290,352.78000,1.11000,0.047000,F9 V,6090.00,1.65,1.21,-0.020,[Fe/H],5.000,0.38000,790.6630000
CoRoT-2 b,CoRoT-2,2,1,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,0.014300,,5625.00,0.91,0.96,0.040,[Fe/H],2.700,1.81400,213.2830000
CoRoT-20 b,CoRoT-20,1,2,9.24285000,0.090000,9.416,0.840,1366.66900,4.30000,0.590000,G2 V,5880.00,1.02,1.14,0.140,,0.100,1.51000,844.0610000
CoRoT-20 c,CoRoT-20,1,2,1675.00000000,2.900000,12.200,1.090,5403.11000,17.00000,0.600000,G2 V,4947.50,1.37,1.14,0.140,,0.100,1.51000,844.0610000
CoRoT-21 b,CoRoT-21,1,1,2.72474000,0.041700,14.572,1.300,718.29580,2.26000,0.000000,F8 IV,6200.00,1.95,1.29,0.000,[Fe/H],4.100,0.25500,1398.8341969
CoRoT-22 b,CoRoT-22,1,1,9.75598000,0.092000,4.880,0.435,12.20000,0.03800,0.077000,G3 V,5939.00,1.14,1.10,0.170,[Fe/H],3.300,1.02700,627.1580000
CoRoT-23 b,CoRoT-23,1,1,3.63130000,0.048000,11.770,1.050,889.90000,2.80000,0.160000,G0 V,5900.00,1.61,1.14,0.050,[Fe/H],7.200,0.50000,1060.9700000
CoRoT-24 b,CoRoT-24,1,2,5.11340000,0.056000,3.700,0.330,5.70000,0.01800,0.000000,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],11.000,1.94863,591.5550000
CoRoT-24 c,CoRoT-24,1,2,11.75900000,0.098000,5.000,0.440,28.00000,0.08800,0.000000,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],11.000,1.94863,591.5550000
CoRoT-25 b,CoRoT-25,1,1,4.86069000,0.057800,12.110,1.080,85.81000,0.27000,0.000000,F9,6040.00,1.19,1.09,-0.010,[Fe/H],4.500,0.64637,1103.4800000
CoRoT-26 b,CoRoT-26,1,1,4.20474000,0.052600,14.120,1.260,165.26000,0.52000,0.000000,G5,5590.00,1.79,1.09,0.010,[Fe/H],8.600,,1045.1800000
CoRoT-27 b,CoRoT-27,1,1,3.57532000,0.047600,11.287,1.007,3302.11000,10.39000,0.065000,G2,5900.00,1.08,1.05,-0.100,[M/H],4.210,1.24000,1010.2800000
CoRoT-28 b,CoRoT-28,1,1,5.20851000,0.060300,10.705,0.955,153.82972,0.48400,0.047000,G8/9 IV,5150.00,1.78,1.01,0.150,[Fe/H],12.000,0.27000,766.1830000
CoRoT-29 b,CoRoT-29,1,1,2.85057000,0.038600,10.088,0.900,270.15550,0.85000,0.082000,K0 V,5260.00,0.90,0.97,0.200,[Fe/H],4.500,1.82500,806.5070000
CoRoT-3 b,CoRoT-3,1,1,4.25680000,0.057830,11.320,1.010,6883.91000,21.66000,0.000000,F3 V,6740.00,1.56,1.37,0.140,[Fe/H],2.200,0.43100,768.7710000
CoRoT-30 b,CoRoT-30,1,1,9.06005000,0.084400,11.310,1.009,921.70700,2.90000,0.007000,G3 V,5650.00,0.91,0.98,0.020,[Fe/H],3.000,1.54162,1032.2300000
