pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_age,st_dens,sy_dist
HD 219828 b,HD 219828,1,2,3.83492000,0.050700,4.850,0.433,20.97678,0.06600,0.101000,G0 IV,5807.00,1.61,1.18,0.180,[Fe/H],5.690,0.32597,73.1140000
HD 219828 c,HD 219828,1,2,4682.00000000,5.790000,12.300,1.090,4640.31800,14.60000,0.810200,G0 IV,5807.00,1.61,1.18,0.180,[Fe/H],5.690,0.32597,73.1140000
HD 220074 b,HD 220074,1,1,672.09998000,1.600000,12.200,1.090,5288.69120,16.64000,0.140000,M2 III,3787.00,54.92,2.20,-0.250,[Fe/H],4.500,,324.5400000
HD 220197 b,HD 220197,1,1,1728.00000000,2.729000,9.320,0.832,63.56600,0.20000,0.187000,G5,5683.00,0.98,0.91,-0.550,[Fe/H],10.165,1.30560,64.4110000
HD 220689 b,HD 220689,1,1,2266.40000000,3.396000,13.700,1.230,355.33394,1.11800,0.054000,G3 V,5921.00,1.07,1.02,-0.070,[Fe/H],4.586,0.97540,46.8778000
HD 220773 b,HD 220773,1,1,3724.70000000,4.940000,13.600,1.210,460.80000,1.45000,0.510000,F9,5940.00,1.68,1.16,0.090,[Fe/H],4.400,0.33411,50.5103000
HD 220842 b,HD 220842,2,1,218.47000000,0.740000,13.100,1.170,1010.69940,3.18000,0.404000,F8,5960.00,1.42,1.13,-0.170,[Fe/H],,0.51898,64.6498000
HD 221287 b,HD 221287,1,1,456.10000000,1.250000,13.100,1.170,982.05000,3.09000,0.080000,F7 V,6304.00,1.14,1.25,-0.030,[Fe/H],1.300,1.21286,55.9231000
HD 221416 b,HD 221416,1,1,14.27670000,0.122800,9.170,0.836,60.50000,0.19000,0.115000,K0 IV/V,5080.00,2.94,1.21,-0.080,[Fe/H],4.900,0.06702,95.5483000
HD 221420 b,HD 221420,1,1,22482.00000000,18.500000,12.500,1.110,3082.95100,9.70000,0.420000,G2 IV-V,5830.00,2.00,1.67,0.290,[Fe/H],,0.20818,31.1415000
HD 221585 b,HD 221585,1,1,1173.00000000,2.306000,13.500,1.210,511.70630,1.61000,0.123000,G8 IV,5620.00,1.85,1.19,0.290,[Fe/H],6.200,0.21600,55.8535000
HD 222076 b,HD 222076,1,1,871.00000000,1.830000,13.500,1.210,495.81480,1.56000,0.080000,K0 III,4806.00,4.10,1.07,0.050,[Fe/H],,,91.1538000
HD 222155 b,HD 222155,1,1,3999.00000000,5.140000,13.400,1.190,673.79960,2.12000,0.160000,G2 V,5701.00,1.85,1.21,-0.180,[Fe/H],8.200,0.24399,50.6078000
HD 222582 b,HD 222582,2,1,572.38000000,1.340000,12.600,1.120,2660.23710,8.37000,0.730000,G5 V,5790.00,1.13,1.12,0.010,[Fe/H],10.240,1.00725,42.1586000
HD 224538 b,HD 224538,1,1,1189.10000000,2.280000,12.800,1.140,1897.44510,5.97000,0.464000,F9 IV/V,6097.00,1.54,1.34,0.270,[Fe/H],2.000,0.53144,79.0608000
HD 224693 b,HD 224693,1,1,26.69040000,0.191000,14.000,1.250,222.48100,0.70000,0.104000,G2 V,5894.00,1.93,1.31,0.270,[Fe/H],4.120,0.23333,93.5015000
HD 22781 b,HD 22781,1,1,528.07000000,1.167000,12.300,1.100,4338.20000,13.65000,0.819100,K1,5027.00,0.74,0.75,-0.370,[Fe/H],4.800,2.83035,32.6034000
HD 23079 b,HD 23079,1,1,730.59998000,1.600000,13.200,1.180,829.53630,2.61000,0.100000,F9.5 V,5974.00,1.07,1.12,-0.130,[Fe/H],2.000,1.22361,33.4591000
HD 23127 b,HD 23127,1,1,1211.17000000,2.370000,13.500,1.210,485.32641,1.52700,0.406000,G2 V,5843.00,1.49,1.21,0.290,[Fe/H],4.508,0.33294,93.8555000
HD 231701 b,HD 231701,1,1,141.63000000,0.567000,13.700,1.220,359.14790,1.13000,0.130000,F8 V,6101.00,1.53,1.21,0.050,[Fe/H],3.430,0.52688,108.8770000
HD 233604 b,HD 233604,1,1,192.00000000,0.747000,12.700,1.130,2089.64400,6.57500,0.050000,K5,4791.00,10.90,1.50,-0.360,[Fe/H],2.400,,847.0580000
HD 233832 b,HD 233832,2,1,2058.00000000,2.827000,13.500,1.200,565.73740,1.78000,0.359000,G0,4981.00,0.68,0.71,-0.660,[Fe/H],5.417,2.87189,58.7420000
HD 23472 b,HD 23472,1,2,17.66700000,0.121000,1.872,0.167,17.92000,0.05638,0.000000,K3.5 V,4813.00,0.73,0.75,-0.190,[M/H],,3.32753,39.0341000
HD 23472 c,HD 23472,1,2,29.62500000,0.170000,2.149,0.192,17.18000,0.05405,0.000000,K3.5 V,4813.00,0.73,0.75,-0.190,[M/H],,3.32753,39.0341000
HD 23596 b,HD 23596,2,1,1561.00000000,2.770000,12.500,1.120,2870.00490,9.03000,0.270000,F8 V,6040.00,1.53,1.47,0.280,[Fe/H],5.680,0.39478,52.0018000
HD 238090 b,HD 238090,1,1,13.67100000,0.093200,2.520,0.225,6.89000,0.02168,0.300000,M0.0 V,3933.00,0.57,0.58,-0.030,[Fe/H],,4.05064,15.2354000
HD 238914 b,HD 238914,1,1,4100.00000000,5.700000,12.800,1.140,1906.98000,6.00000,0.560000,K7,4769.00,12.73,1.47,-0.250,[Fe/H],,,519.4520000
HD 240210 b,HD 240210,1,1,501.75000000,1.160000,12.800,1.140,1655.82000,5.21000,0.150000,K3 III,4297.00,25.46,0.82,-0.180,[Fe/H],5.085,,372.4050000
HD 240237 b,HD 240237,1,1,745.70001000,1.920000,12.200,1.090,5050.31870,15.89000,0.400000,K2 III,3926.00,71.23,8.76,-0.250,[Fe/H],4.420,,933.3770000
HD 24040 b,HD 24040,1,1,3668.00000000,4.920000,13.000,1.160,1226.82380,3.86000,0.040000,G0 V,5802.00,1.30,1.11,0.190,[Fe/H],6.680,0.55399,46.6224000
HD 24064 b,HD 24064,1,1,535.59998000,1.290000,12.300,1.100,4096.82870,12.89000,0.350000,K0,4052.00,40.00,1.61,-0.490,[Fe/H],9.000,,300.2470000
HD 24085 b,HD 24085,1,1,2.04550000,0.034000,3.460,0.309,11.80000,0.03713,0.220000,G0 V,6034.00,1.41,1.22,0.170,[M/H],,0.57620,54.9004000
HD 25015 b,HD 25015,1,1,6019.32000000,6.190000,12.900,1.150,1423.87840,4.48000,0.390000,K1 V,5160.00,0.83,0.86,0.040,[Fe/H],4.000,2.24688,37.4330000
HD 25171 b,HD 25171,2,1,1802.29000000,2.971000,13.900,1.240,290.81445,0.91500,0.042000,F8 V,6125.00,1.23,1.08,-0.120,[Fe/H],4.802,0.94486,55.6146000
HD 2638 b,HD 2638,3,1,3.44420000,0.040000,14.300,1.280,133.48860,0.42000,0.000000,G5,5186.00,0.94,0.77,0.130,[Fe/H],3.000,1.83521,54.9621000
HD 2685 b,HD 2685,1,1,4.12688000,0.056800,16.141,1.440,371.86110,1.17000,0.091000,,6801.00,1.56,1.43,0.020,[Fe/H],1.310,0.51462,196.8520000
HD 26965 b,HD 26965,3,1,42.37800000,,2.840,0.254,8.47000,0.02665,0.040000,K0 V,5072.00,0.87,0.78,-0.420,[Fe/H],6.900,1.98442,5.0354500
HD 27442 b,HD 27442,2,1,428.10000000,1.271000,13.500,1.210,495.80000,1.56000,0.060000,K1/2III,4846.00,3.18,1.23,0.420,[Fe/H],10.000,,18.2704000
HD 27631 b,HD 27631,1,1,2198.14000000,3.242000,13.600,1.210,474.83802,1.49400,0.141000,G3 IV-V,5737.00,0.92,0.94,-0.120,[Fe/H],4.010,1.12710,50.2862000
HD 27894 b,HD 27894,1,3,18.02000000,0.125000,14.100,1.250,211.35695,0.66500,0.047000,K2 V,4875.00,0.89,0.80,0.300,[Fe/H],3.900,1.84634,43.8214000
HD 27894 c,HD 27894,1,3,36.07000000,0.198000,8.240,0.735,51.48846,0.16200,0.015000,K2 V,4894.00,0.89,0.80,0.300,[Fe/H],13.000,1.84634,43.8214000
HD 27894 d,HD 27894,1,3,5174.00000000,5.448000,12.800,1.140,1721.04945,5.41500,0.389000,K2 V,4894.00,0.89,0.80,0.300,[Fe/H],13.000,1.84634,43.8214000
HD 28185 b,HD 28185,1,1,379.00000000,1.020000,12.800,1.140,1875.19700,5.90000,0.050000,G5,5662.00,1.03,1.02,0.230,[Fe/H],7.500,1.11680,39.3809000
HD 28254 b,HD 28254,2,1,1116.00000000,2.150000,13.700,1.220,368.67000,1.16000,0.810000,G1 IV/V,5664.00,1.48,1.06,0.060,[Fe/H],,0.35764,55.2884000
HD 285507 b,HD 285507,1,1,6.08810000,0.060000,13.800,1.230,311.47340,0.98000,0.090000,K4.5 V,4503.00,0.69,0.82,0.130,[Fe/H],0.625,1.89557,45.0293000
HD 285968 b,HD 285968,1,1,8.78360000,0.066000,2.830,0.253,8.40000,0.02600,0.000000,M2 V,3543.00,0.49,0.50,-0.100,[Fe/H],3.620,5.92298,9.4704500
HD 28678 b,HD 28678,1,1,380.20000000,1.180000,13.500,1.210,490.09386,1.54200,0.149000,G8 IV,4972.00,6.48,1.53,-0.110,[Fe/H],1.800,,189.9080000
HD 29021 b,HD 29021,1,1,1362.30000000,2.280000,13.300,1.180,762.79200,2.40000,0.459000,G5,5560.00,0.85,0.85,-0.240,[Fe/H],7.400,1.99200,30.9939000
HD 290327 b,HD 290327,1,1,2443.00000000,3.430000,13.300,1.180,772.32690,2.43000,0.080000,G8 V,5505.00,0.95,0.84,-0.140,[Fe/H],,1.65313,56.4330000
HD 2952 b,HD 2952,1,1,311.60001000,1.230000,13.600,1.210,435.42710,1.37000,0.130000,K0 III,4844.00,10.76,1.97,0.000,[Fe/H],,,110.1030000
HD 30177 b,HD 30177,1,2,2527.83000000,3.704000,12.600,1.120,2740.33026,8.62200,0.162000,G8 V,5607.00,1.02,1.05,0.390,[Fe/H],2.525,0.81457,55.5867000
HD 30177 c,HD 30177,1,2,11613.00000000,9.890000,12.600,1.130,2415.50800,7.60000,0.220000,G8 V,5580.00,1.18,0.99,0.330,[Fe/H],11.600,0.81457,55.5867000
HD 30562 b,HD 30562,1,1,1157.00000000,2.340000,13.700,1.220,387.75260,1.22000,0.760000,F8 V,5882.00,1.61,1.12,0.200,[Fe/H],3.600,0.34122,26.1597000
HD 30669 b,HD 30669,1,1,1684.00000000,2.690000,14.300,1.270,149.37000,0.47000,0.180000,G9 V,5400.00,0.91,0.92,0.130,[Fe/H],4.800,1.53008,58.0844000
HD 30856 b,HD 30856,2,1,847.00000000,1.850000,13.500,1.210,491.68301,1.54700,0.061000,K0 III,4895.00,4.40,1.17,-0.060,[Fe/H],3.800,,131.1990000
HD 31253 b,HD 31253,1,1,466.00000000,1.260000,14.100,1.260,197.05460,0.62000,0.300000,F8,6130.00,1.75,1.70,0.170,[Fe/H],3.000,0.25572,58.1438000
HD 31527 b,HD 31527,1,3,16.55350000,0.125400,3.220,0.288,10.47000,0.03290,0.100000,G2 V,5898.00,1.07,0.96,-0.170,[Fe/H],,1.20634,38.4473000
HD 31527 c,HD 31527,1,3,51.20530000,0.266300,3.850,0.343,14.16000,0.04450,0.040000,G2 V,5898.00,1.07,0.96,-0.170,[Fe/H],,1.20634,38.4473000
HD 31527 d,HD 31527,1,3,271.67370000,0.809800,3.460,0.309,11.82000,0.03720,0.240000,G2 V,5898.00,1.07,0.96,-0.170,[Fe/H],,1.20634,38.4473000
HD 3167 b,HD 3167,1,3,0.95962400,0.018600,1.700,0.152,5.02000,0.01579,0.000000,K0 V,5528.00,0.87,0.94,-0.020,[Fe/H],,1.90200,47.2899000
HD 3167 c,HD 3167,1,3,29.83832000,0.184100,2.860,0.255,9.80000,0.03083,0.267000,K0 V,5528.00,0.87,0.94,-0.020,[Fe/H],,1.90200,47.2899000
HD 3167 d,HD 3167,1,3,8.50900000,0.077570,2.520,0.225,6.90000,0.02171,0.360000,K0 V,5261.00,0.86,0.86,0.040,[Fe/H],,1.90200,47.2899000
HD 32518 b,HD 32518,1,1,157.54000000,0.590000,13.100,1.170,966.16000,3.04000,0.010000,K1 III,4580.00,10.22,1.13,-0.150,[Fe/H],5.830,,122.1150000
HD 32963 b,HD 32963,1,1,2372.00000000,3.410000,14.000,1.250,222.48100,0.70000,0.070000,G5,5727.00,1.09,0.94,0.110,[Fe/H],4.990,1.12694,38.0786000
HD 330075 b,HD 330075,1,1,3.38773000,0.040000,14.300,1.270,152.55840,0.48000,0.000000,K1,5000.00,0.84,0.47,0.050,[Fe/H],6.200,2.01681,45.2989000
HD 33142 b,HD 33142,1,2,326.00000000,1.070000,13.600,1.210,440.19455,1.38500,0.066000,K0 III,4978.00,4.45,1.41,0.050,[Fe/H],3.000,,121.3750000
HD 33142 c,HD 33142,1,2,834.00000000,,12.800,1.140,1897.44510,5.97000,0.050000,K0 III,5009.00,4.14,1.62,0.030,[Fe/H],3.000,,121.3750000
HD 332231 b,HD 332231,1,1,18.71204000,0.143600,9.718,0.867,77.55052,0.24400,0.032000,F8,6089.00,1.28,1.13,0.036,[Fe/H],4.300,0.76600,80.6665000
HD 33283 b,HD 33283,2,1,18.19910000,0.150800,12.500,1.120,104.56607,0.32900,0.399000,G3/G5 V,5935.00,1.97,1.38,0.350,[Fe/H],3.630,0.21450,89.8623000
HD 33564 b,HD 33564,1,1,388.00000000,1.100000,12.500,1.120,2892.10000,9.10000,0.340000,F6 V,6250.00,1.44,1.25,-0.120,[Fe/H],3.000,0.57173,20.9531000
HD 33844 b,HD 33844,1,2,551.40002000,1.600000,13.400,1.190,638.83830,2.01000,0.150000,K0 III,4861.00,5.39,1.84,0.270,[Fe/H],1.880,,105.7790000
HD 33844 c,HD 33844,1,2,916.00000000,2.240000,13.500,1.200,556.20250,1.75000,0.130000,K0 III,4861.00,5.29,1.78,0.270,[Fe/H],1.880,,105.7790000
HD 34445 b,HD 34445,1,6,1049.00000000,2.070000,13.900,1.240,260.62060,0.82000,0.270000,G0 V,5879.00,1.38,1.14,0.180,[Fe/H],8.500,0.46720,46.0907000
HD 34445 c,HD 34445,1,6,214.67000000,0.718100,8.420,0.752,53.50000,0.16800,0.036000,G0 V,5836.00,1.38,1.07,0.140,[Fe/H],8.500,0.46720,46.0907000
HD 34445 d,HD 34445,1,6,117.87000000,0.481700,6.070,0.542,30.70000,0.09700,0.027000,G0 V,5836.00,1.38,1.07,0.140,[Fe/H],8.500,0.46720,46.0907000
HD 34445 e,HD 34445,1,6,49.17500000,0.268700,4.260,0.380,16.80000,0.05290,0.090000,G0 V,5836.00,1.38,1.07,0.140,[Fe/H],8.500,0.46720,46.0907000
HD 34445 f,HD 34445,1,6,676.80000000,1.543000,6.880,0.613,37.90000,0.11900,0.031000,G0 V,5836.00,1.38,1.07,0.140,[Fe/H],8.500,0.46720,46.0907000
HD 34445 g,HD 34445,1,6,5700.00000000,6.360000,13.600,1.210,120.60000,0.38000,0.032000,G0 V,5836.00,1.38,1.07,0.140,[Fe/H],8.500,0.46720,46.0907000
HD 35759 b,HD 35759,1,1,82.46700000,0.389000,13.000,1.160,1195.04080,3.76000,0.389000,G0,6060.00,1.76,1.15,0.040,[Fe/H],,0.31131,71.2423000
HD 3651 b,HD 3651,1,1,62.25000000,0.295000,10.100,0.899,72.46524,0.22800,0.645000,K0 V,5221.00,0.87,0.80,0.145,[M/H],3.000,1.90532,11.1336000
HD 37124 b,HD 37124,1,3,154.37800000,0.533640,14.000,1.250,214.53525,0.67500,0.054000,G4 V,5492.00,0.91,0.85,-0.440,[Fe/H],4.000,1.71312,31.6634000
HD 37124 c,HD 37124,1,3,885.50000000,1.710000,14.100,1.250,207.22516,0.65200,0.125000,G4 V,5492.00,0.91,0.85,-0.440,[Fe/H],4.000,1.71312,31.6634000
HD 37124 d,HD 37124,1,3,1862.00000000,2.807000,14.000,1.250,221.20968,0.69600,0.160000,G4 V,5492.00,0.91,0.85,-0.440,[Fe/H],4.000,1.71312,31.6634000
HD 37605 b,HD 37605,1,2,55.01292000,0.277000,13.200,1.180,854.96270,2.69000,0.674500,K0,5329.00,0.91,0.94,0.270,[Fe/H],5.650,1.36793,46.7864000
HD 37605 c,HD 37605,1,2,2720.00000000,3.740000,13.100,1.170,1013.87770,3.19000,0.030000,K0,5329.00,0.91,0.94,0.270,[Fe/H],5.650,1.36793,46.7864000
HD 38283 b,HD 38283,1,1,363.20001000,1.020000,14.000,1.250,127.13200,0.40000,0.410000,F9.5 V,5981.00,1.49,1.37,-0.180,[Fe/H],6.200,0.46608,38.0615000
HD 38529 b,HD 38529,2,2,14.30944000,0.129400,13.900,1.240,253.31051,0.79700,0.280000,G4 IV,5541.00,2.56,1.41,0.510,[Fe/H],3.090,0.06063,42.3538000
HD 38529 c,HD 38529,2,2,2136.10000000,3.640000,12.300,1.100,4128.61170,12.99000,0.340700,G4 IV,5541.00,2.56,1.41,0.510,[Fe/H],3.090,0.06063,42.3538000
HD 38801 b,HD 38801,1,1,685.25000000,1.623000,12.500,1.110,3082.31534,9.69800,0.017000,K0,5338.00,2.03,1.21,0.250,[Fe/H],6.072,,91.4349000
HD 39091 b,HD 39091,1,2,2093.07000000,3.100000,12.300,1.100,4100.00700,12.90000,0.637000,G0 V,6037.00,1.10,1.09,0.080,[Fe/H],2.980,1.14800,18.2702000
HD 39855 b,HD 39855,1,1,3.24980000,0.041000,2.850,0.254,8.50000,0.02674,0.140000,G8 V,5576.00,0.74,0.87,,,,3.13070,23.2599000
HD 40307 b,HD 40307,1,5,4.31230000,0.046800,1.830,0.163,4.00000,0.01260,0.200000,K2.5 V,4956.00,0.72,0.77,-0.310,[Fe/H],4.500,3.02559,12.9363000
HD 40307 c,HD 40307,1,5,9.61840000,0.079900,2.460,0.219,6.60000,0.02080,0.060000,K2.5 V,4956.00,0.72,0.77,-0.310,[Fe/H],4.500,3.02559,12.9363000
HD 40307 d,HD 40307,1,5,20.43200000,0.132100,3.040,0.272,9.50000,0.02990,0.070000,K2.5 V,4956.00,0.72,0.77,-0.310,[Fe/H],4.500,3.02559,12.9363000
HD 40307 f,HD 40307,1,5,51.76000000,0.247000,2.130,0.190,5.20000,0.01640,0.020000,K2.5 V,4956.00,0.72,0.77,-0.310,[Fe/H],4.500,3.02559,12.9363000
HD 40307 g,HD 40307,1,5,197.80000000,0.600000,2.560,0.229,7.10000,0.02230,0.290000,K2.5 V,4956.00,0.72,0.77,-0.310,[Fe/H],4.500,3.02559,12.9363000
HD 40956 b,HD 40956,1,1,578.60000000,1.400000,13.200,1.180,858.14100,2.70000,0.240000,K0,4869.00,8.56,2.00,0.140,[Fe/H],1.350,,116.5930000
HD 40979 b,HD 40979,3,1,264.14999000,0.850000,12.900,1.150,1484.26610,4.67000,0.250000,F8 V,6165.00,1.21,1.45,0.200,[Fe/H],3.560,0.86779,34.0883000
HD 41004 A b,HD 41004 A,2,2,963.00000000,,13.200,1.180,807.25000,2.54000,0.740000,K1/K2 V,5310.00,0.85,0.95,0.230,[Fe/H],1.000,,36.6911700
HD 41004 B b,HD 41004 B,2,2,1.32830000,,12.100,1.080,5838.29000,18.37000,0.081000,M2 V,5036.00,1.04,0.40,,,,1.04864,41.5504000
HD 4113 b,HD 4113,3,1,526.62000000,1.280000,13.500,1.210,495.79000,1.56000,0.903000,G5,5688.00,1.08,0.99,0.200,[Fe/H],6.400,1.10439,41.8727000
HD 42012 b,HD 42012,1,1,857.50000000,1.670000,13.500,1.210,508.52800,1.60000,0.200000,K0,5405.00,0.82,0.83,-0.090,[Fe/H],4.100,2.20144,36.7984000
HD 4203 b,HD 4203,1,2,431.88000000,1.170000,13.300,1.190,708.76090,2.23000,0.520000,G5,5596.00,1.42,1.25,0.400,[Fe/H],8.520,0.41525,81.3795000
HD 4203 c,HD 4203,1,2,6700.00000000,6.950000,13.300,1.190,689.66000,2.17000,0.240000,G5,5582.00,1.50,0.99,0.340,[M/H],8.520,0.41525,81.3795000
HD 4208 b,HD 4208,1,1,832.97000000,1.662000,13.900,1.240,257.44230,0.81000,0.042000,G7 V Fe-1 CH-0.5,5717.00,0.85,0.88,-0.280,[Fe/H],3.813,1.73372,34.1937000
HD 42618 b,HD 42618,1,1,149.61000000,0.554000,3.890,0.347,14.40000,0.04531,0.190000,G4 V,5727.00,1.00,1.01,-0.090,[Fe/H],3.720,1.57325,24.3358000
HD 4308 b,HD 4308,1,1,15.56000000,0.120000,4.120,0.368,15.89150,0.05000,0.000000,G5V,5686.00,1.02,0.93,-0.350,[Fe/H],4.300,1.23938,22.0158000
HD 4313 b,HD 4313,1,1,356.21000000,1.157000,13.400,1.200,612.45841,1.92700,0.147000,G5,4943.00,5.14,1.63,0.140,[Fe/H],2.000,,136.3080000
HD 43197 b,HD 43197,1,1,327.80000000,0.920000,14.100,1.260,190.69000,0.60000,0.830000,G8 V,5508.00,1.00,0.96,0.400,[Fe/H],,1.11963,62.4112000
HD 43691 b,HD 43691,3,1,36.99870000,0.238000,13.200,1.180,810.46650,2.55000,0.079600,G0,6093.00,1.60,1.32,0.330,[Fe/H],2.390,0.30873,85.6009000
HD 44219 b,HD 44219,1,1,472.30000000,1.190000,14.100,1.260,184.33000,0.58000,0.610000,G2 V,5752.00,1.32,1.00,0.030,[Fe/H],,0.50056,52.9051000
HD 45184 b,HD 45184,1,2,5.88540000,0.064400,3.520,0.314,12.19000,0.03840,0.070000,G1.5 V,5869.00,1.05,1.03,0.040,[Fe/H],6.800,1.28221,21.9532000
HD 45184 c,HD 45184,1,2,13.13540000,0.110000,2.910,0.260,8.81000,0.02770,0.070000,G1.5 V,5869.00,1.05,1.03,0.040,[Fe/H],6.800,1.28221,21.9532000
HD 45350 b,HD 45350,1,1,963.60000000,1.920000,13.500,1.200,568.89000,1.79000,0.778000,G5 V,5566.00,1.26,0.98,0.230,[M/H],8.000,0.68347,46.8733000
HD 45364 b,HD 45364,1,2,226.93000000,0.681300,8.970,0.800,59.49530,0.18720,0.168400,K0 V,5434.00,0.89,0.82,-0.170,[Fe/H],,1.83641,34.3540000
HD 45364 c,HD 45364,1,2,342.85000000,0.897200,14.100,1.250,209.09150,0.65790,0.097400,K0 V,5434.00,0.89,0.82,-0.170,[Fe/H],,1.83641,34.3540000
HD 45652 b,HD 45652,1,1,44.07300000,0.237000,14.300,1.280,137.62039,0.43300,0.607000,G8/K0,5294.00,0.94,0.92,0.260,[Fe/H],8.400,1.46107,34.8541000
HD 46375 b,HD 46375,2,1,3.02357300,0.039800,10.000,0.894,71.80000,0.22600,0.063000,K1 IV-V,5285.00,0.94,0.92,0.240,[Fe/H],9.000,1.64032,29.5529000
HD 47186 b,HD 47186,1,2,4.08450000,0.050000,5.020,0.448,22.24810,0.07000,0.040000,G6 V,5657.00,1.08,0.96,0.240,[Fe/H],6.500,1.05709,37.4574000
HD 47186 c,HD 47186,1,2,1353.60000000,2.395000,13.000,1.160,111.42000,0.35061,0.249000,G6 V,5657.00,1.08,0.96,0.230,[Fe/H],6.500,1.05709,37.4574000
HD 4732 b,HD 4732,2,2,360.20000000,1.190000,13.300,1.190,753.23000,2.37000,0.130000,K0 IV,4959.00,5.40,1.74,0.010,[Fe/H],1.470,,54.7841000
HD 4732 c,HD 4732,2,2,2732.00000000,4.600000,13.300,1.190,753.23000,2.37000,0.230000,K0 IV,4959.00,5.40,1.74,0.010,[Fe/H],1.470,,54.7841000
HD 47366 b,HD 47366,1,2,359.15000000,1.280000,13.300,1.190,731.00900,2.30000,0.060000,K1 III,4914.00,6.20,2.19,-0.070,[Fe/H],0.940,,84.3552000
HD 47366 c,HD 47366,1,2,682.85000000,1.970000,13.400,1.200,597.52040,1.88000,0.100000,K1 III,4914.00,6.20,2.19,-0.070,[Fe/H],0.940,,84.3552000
HD 47536 b,HD 47536,1,1,712.13000000,1.930000,12.600,1.130,2330.00000,7.32000,0.200000,K1 III,4380.00,23.47,2.10,-0.650,[Fe/H],10.150,,122.5360000
HD 4760 b,HD 4760,1,1,434.00000000,1.140000,12.300,1.100,4417.83700,13.90000,0.230000,K2,4076.00,42.40,1.05,-0.910,[Fe/H],,,537.8730000
HD 48265 b,HD 48265,1,1,778.51000000,1.814000,13.500,1.210,484.69075,1.52500,0.211000,G5 IV/V,5733.00,1.90,1.31,0.300,[Fe/H],4.201,0.16653,90.5446000
HD 4917 b,HD 4917,1,1,400.50000000,1.167000,13.500,1.210,513.29545,1.61500,0.066000,K0 III/IV,4802.00,5.01,1.32,0.180,[M/H],,,204.2770000
HD 49674 b,HD 49674,1,1,4.94737000,0.060000,6.200,0.553,31.78300,0.10000,0.090000,G5 V,5602.00,1.02,1.03,0.320,[Fe/H],3.620,1.23163,43.0399000
HD 50499 b,HD 50499,1,2,2447.10000000,3.833000,13.500,1.200,519.96988,1.63600,0.266000,G1 V,6102.00,1.35,1.25,0.260,[Fe/H],2.391,0.50998,46.2845000
HD 50499 c,HD 50499,1,2,8619.90000000,9.020000,13.200,1.170,931.24190,2.93000,0.000000,G1 V,6099.00,1.42,1.31,0.380,[Fe/H],2.400,0.50998,46.2845000
HD 50554 b,HD 50554,1,1,1293.00000000,2.353000,12.900,1.150,1574.46400,4.95400,0.501000,F8 V,5987.00,1.02,1.04,-0.040,[Fe/H],2.160,1.08476,31.1664000
HD 51608 b,HD 51608,1,2,14.07260000,0.105900,3.620,0.323,12.77000,0.04020,0.090000,G7 V,5358.00,0.92,0.80,-0.070,[Fe/H],,1.69811,35.0553000
HD 51608 c,HD 51608,1,2,95.94460000,0.380900,3.870,0.346,14.31000,0.04500,0.140000,G7 V,5358.00,0.92,0.80,-0.070,[Fe/H],,1.69811,35.0553000
HD 52265 b,HD 52265,1,1,119.27000000,0.520000,13.700,1.220,384.57430,1.21000,0.270000,G0V,6136.00,1.32,1.20,0.210,[Fe/H],3.500,0.57144,29.9803000
HD 5319 b,HD 5319,1,2,637.10000000,1.570000,13.500,1.210,494.54348,1.55600,0.092000,G5,4871.00,4.06,1.27,0.150,[Fe/H],3.100,,121.4050000
HD 5319 c,HD 5319,1,2,872.20000000,1.930000,13.800,1.230,334.67499,1.05300,0.183000,G5,4871.00,4.06,1.27,0.150,[Fe/H],3.100,,121.4050000
HD 55696 b,HD 55696,1,1,1827.00000000,3.180000,13.000,1.160,1230.00210,3.87000,0.705000,G0 V,6012.00,1.52,1.29,0.370,[Fe/H],2.640,0.32470,77.9693000
HD 5583 b,HD 5583,1,1,139.35000000,0.530000,12.800,1.140,1837.05740,5.78000,0.076000,,4830.00,9.09,1.01,-0.500,[Fe/H],7.410,,219.2160000
HD 5608 b,HD 5608,1,1,779.90000000,1.911000,13.500,1.200,534.27223,1.68100,0.056000,K0,4877.00,5.14,1.53,0.140,[Fe/H],1.720,,58.1105000
HD 564 b,HD 564,1,1,492.30000000,1.200000,12.500,1.120,104.88000,0.33000,0.096000,G2/G3 V,5902.00,1.01,0.96,-0.200,[Fe/H],5.500,1.87015,51.1659000
HD 5891 b,HD 5891,1,1,177.11000000,0.640000,12.600,1.130,2425.04290,7.63000,0.070000,G5,4673.00,10.64,1.93,-0.370,[Fe/H],1.500,,283.5020000
HD 59686 A b,HD 59686 A,2,1,299.36000000,1.086000,12.700,1.130,2199.38360,6.92000,0.050000,K2 III,4658.00,13.20,1.90,0.150,[Fe/H],1.730,,89.2721000
HD 60292 b,HD 60292,1,1,495.40000000,1.500000,12.700,1.130,2065.89500,6.50000,0.270000,K0 III,4348.00,27.00,1.70,-0.170,[Fe/H],1.800,,315.2110000
HD 60532 b,HD 60532,1,2,201.90000000,0.770000,13.800,1.230,336.89980,1.06000,0.260000,F6 IV,6245.00,2.57,1.50,-0.260,[Fe/H],2.800,0.09257,25.9716000
