pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_gaiamag
47 UMa b,47 UMa,0,1,3,1076.60000000,2.100000,778.68350,2.45000,0.012000,,5882.00,,1.06,0.040,[Fe/H],,4.8783700
47 UMa b,47 UMa,0,1,3,1083.20000000,2.110000,826.32000,2.60000,0.049000,,,,,,,,4.8783700
47 UMa b,47 UMa,1,1,3,1078.00000000,2.100000,804.08000,2.53000,0.032000,,5872.00,1.21,1.06,0.040,[M/H],4.30,4.8783700
47 UMa b,47 UMa,0,1,3,1100.80000000,2.110000,877.17000,2.76000,0.097000,,,,,,,,4.8783700
47 UMa c,47 UMa,0,1,3,7586.00000000,7.730000,425.87000,1.34000,0.005000,,,,,,,,4.8783700
47 UMa c,47 UMa,1,1,3,2391.00000000,3.600000,171.62100,0.54000,0.098000,,5872.00,1.21,1.06,0.040,[M/H],4.30,4.8783700
47 UMa d,47 UMa,1,1,3,14002.00000000,11.600000,521.22000,1.64000,0.160000,,5872.00,1.21,1.06,0.040,[M/H],4.30,4.8783700
51 Eri b,51 Eri,1,3,1,11688.00000000,12.000000,,,0.450000,,7295.00,1.49,1.65,,,4.31,5.1580600
51 Eri b,51 Eri,0,3,1,14965.00000000,14.000000,,,0.210000,,7295.00,1.49,1.65,,,4.31,5.1580600
51 Eri b,51 Eri,0,3,1,,13.200000,635.66000,2.00000,,700,,,1.75,-0.027,[M/H],,5.1580600
51 Peg b,51 Peg,1,1,1,4.23078500,0.052700,150.00900,0.47200,0.013000,,5758.00,1.18,1.03,0.180,[M/H],4.31,5.2864700
51 Peg b,51 Peg,0,1,1,4.23077000,0.052000,148.73800,0.46800,0.000000,,,,,,,,5.2864700
51 Peg b,51 Peg,0,1,1,4.23100000,0.052000,146.20180,0.46000,0.000000,,,,1.04,,,,5.2864700
51 Peg b,51 Peg,0,1,1,4.22930000,,149.38010,0.47000,0.000000,,5773.00,1.29,,0.200,[M/H],4.32,5.2864700
55 Cnc b,55 Cnc,0,2,5,14.65152000,0.115227,263.97850,0.83060,0.003400,,,,0.95,,,,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.60000000,0.113000,254.25000,0.80000,0.000000,700,,,,,,,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.65100000,0.113400,254.25000,0.80000,0.004000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.67000000,0.115000,249.17872,0.78400,0.019700,,,,0.95,,,,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.65300000,0.115000,266.97720,0.84000,0.020000,,,,0.95,0.270,[Fe/H],,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.64800000,0.110000,266.97720,0.84000,0.051000,,5200.00,,0.85,0.230,[Fe/H],4.50,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.65126000,0.113800,260.61000,0.82000,0.015900,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.64700000,0.115000,289.21000,0.91000,0.030000,,,,,,,,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.46531400,0.113390,266.96600,0.84000,0.002300,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc b,55 Cnc,0,2,5,14.65162000,0.115000,261.88100,0.82400,0.014000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc b,55 Cnc,1,2,5,14.65160000,0.113400,255.40000,0.80360,0.000000,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.7297300
55 Cnc c,55 Cnc,0,2,5,44.37300000,0.237350,56.69850,0.17840,0.072000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc c,55 Cnc,0,2,5,44.34460000,0.240000,53.71100,0.16900,0.086000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc c,55 Cnc,0,2,5,43.93000000,0.240000,68.96911,0.21700,0.440000,,,,0.95,,,,5.7297300
55 Cnc c,55 Cnc,0,2,5,44.37870000,0.238000,52.44000,0.16500,0.053000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc c,55 Cnc,0,2,5,44.38000000,0.237000,52.44000,0.16500,0.070000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
