pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_gaiamag
Kepler-1166 b,Kepler-1166,1,1,1,33.24068820,,,,,,5446.00,0.86,0.90,-0.020,[Fe/H],4.53,14.4660000
Kepler-1166 b,Kepler-1166,0,1,1,33.24201000,0.192000,,,0.000000,559,5560.00,1.00,0.85,,,4.37,14.4660000
Kepler-1166 b,Kepler-1166,0,1,1,33.24044781,,,,,,5392.42,0.85,0.94,0.157,[M/H],4.55,14.4660000
Kepler-1166 b,Kepler-1166,0,1,1,,,,,,,5388.00,0.85,,,,,14.4660000
Kepler-1166 b,Kepler-1166,0,1,1,33.24097603,,,,,,5392.42,0.85,0.94,0.157,[M/H],4.55,14.4660000
Kepler-1166 b,Kepler-1166,0,1,1,33.24068820,0.195700,,,0.000000,563,5605.00,1.01,0.90,0.000,[Fe/H],4.38,14.4660000
Kepler-1167 b,Kepler-1167,0,1,1,1.00393170,,,,,,4806.00,0.78,0.78,,,4.55,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,1.00393170,0.017500,,,0.000000,1419,4949.00,0.74,0.71,-0.180,[Fe/H],4.55,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,1.00393374,0.017500,,,0.000000,1421,4949.00,0.74,0.71,-0.180,[Fe/H],4.55,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,1.00393374,0.017500,,,0.000000,1421,4949.00,0.74,0.71,-0.180,[Fe/H],4.55,15.9292000
Kepler-1167 b,Kepler-1167,1,1,1,1.00393374,,,,,,4971.00,0.75,0.79,-0.050,[Fe/H],4.60,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,1.00396500,0.019000,,,0.000000,1429,4778.00,0.87,0.86,,,4.49,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,1.00393600,,,,,,4806.00,0.78,0.78,,,4.55,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,,,,,,,4951.00,0.77,,,,,15.9292000
Kepler-1167 b,Kepler-1167,0,1,1,1.00393374,0.017500,,,0.000000,1421,4949.00,0.74,0.71,-0.180,[Fe/H],4.55,15.9292000
Kepler-1168 b,Kepler-1168,0,1,1,55.82265390,0.266100,,,0.000000,379,5167.00,0.74,0.81,-0.180,[Fe/H],4.61,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82280000,0.267000,,,0.000000,371,5159.00,0.71,0.81,,,4.64,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82244220,,,,,,4934.58,0.74,0.81,-0.142,[M/H],4.60,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,,,,,,,5165.00,0.68,,,,,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82222394,,,,,,4934.58,0.74,0.81,-0.142,[M/H],4.60,15.6088000
Kepler-1168 b,Kepler-1168,1,1,1,55.82265390,,,,,,5157.00,0.82,0.87,0.130,[Fe/H],4.56,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82247750,,,,,,4934.58,0.74,0.81,-0.142,[M/H],4.60,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82247750,0.266300,,,0.000000,379,5162.00,0.74,0.82,-0.180,[Fe/H],4.61,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82265390,0.266100,,,0.000000,379,5167.00,0.74,0.81,-0.180,[Fe/H],4.61,15.6088000
Kepler-1168 b,Kepler-1168,0,1,1,55.82265390,0.266100,,,0.000000,379,5167.00,0.74,0.81,-0.180,[Fe/H],4.61,15.6088000
Kepler-1169 b,Kepler-1169,0,1,1,6.11009134,0.068100,,,0.000000,1123,5971.00,1.24,1.13,0.160,[Fe/H],4.30,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,6.11009134,0.068100,,,0.000000,1123,5971.00,1.24,1.13,0.160,[Fe/H],4.30,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,6.11012200,0.067000,,,0.000000,1153,6162.00,1.21,1.08,,,4.31,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,6.11014294,,,,,,5959.63,1.27,1.09,0.203,[M/H],4.27,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,6.11009134,0.068100,,,0.000000,1123,5971.00,1.24,1.13,0.160,[Fe/H],4.30,12.6852000
Kepler-1169 b,Kepler-1169,1,1,1,6.11009134,,,,,,6191.00,1.23,1.24,0.260,[Fe/H],4.35,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,6.11010439,,,,,,5959.63,1.27,1.09,0.203,[M/H],4.27,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,6.11010439,0.070900,,,0.000000,1125,6213.00,1.20,1.27,0.360,[Fe/H],4.39,12.6852000
Kepler-1169 b,Kepler-1169,0,1,1,,,,,,,6028.00,1.22,,,,,12.6852000
Kepler-117 b,Kepler-117,0,1,2,18.79591276,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79595200,0.148000,,,,,6169.00,1.47,,,,4.19,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79591276,0.143100,,,0.000000,852,6163.00,1.41,1.10,-0.060,[Fe/H],4.18,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79590048,0.147300,,,0.000000,808,6466.00,1.18,1.21,-0.040,[Fe/H],4.37,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79590048,0.147300,,,0.000000,808,6466.00,1.18,1.21,-0.040,[Fe/H],4.37,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79590048,0.147300,,,0.000000,808,6466.00,1.18,1.21,-0.040,[Fe/H],4.37,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79587256,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79593028,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 b,Kepler-117,0,1,2,,,,,,,6085.00,1.62,,,,,14.2472000
Kepler-117 b,Kepler-117,1,1,2,18.79592280,0.144500,29.87500,0.09400,0.049300,984,6150.00,1.61,1.13,-0.040,[Fe/H],4.10,14.2472000
Kepler-117 b,Kepler-117,0,1,2,50.79036400,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79590048,,,,,,6170.00,1.28,1.15,-0.010,[Fe/H],4.28,14.2472000
Kepler-117 b,Kepler-117,0,1,2,18.79590900,0.146000,,,0.000000,792,6438.00,1.14,1.18,,,4.40,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79034619,0.285800,,,0.000000,580,6466.00,1.18,1.21,-0.040,[Fe/H],4.37,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79034619,0.285800,,,0.000000,580,6466.00,1.18,1.21,-0.040,[Fe/H],4.37,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79034619,0.285800,,,0.000000,580,6466.00,1.18,1.21,-0.040,[Fe/H],4.37,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79056300,0.284000,,,0.000000,568,6438.00,1.14,1.18,,,4.40,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79039120,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 c,Kepler-117,0,1,2,,,,,,,6085.00,1.62,,,,,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79035891,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79034648,0.277600,,,0.000000,612,6163.00,1.41,1.10,-0.060,[Fe/H],4.18,14.2472000
Kepler-117 c,Kepler-117,1,1,2,50.79039100,0.280400,584.78000,1.84000,0.032300,704,6150.00,1.61,1.13,-0.040,[Fe/H],4.10,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79034619,,,,,,6170.00,1.28,1.15,-0.010,[Fe/H],4.28,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79034648,,,,,,6100.39,1.66,1.15,-0.055,[M/H],4.06,14.2472000
Kepler-117 c,Kepler-117,0,1,2,50.79041200,0.287000,,,,,6169.00,1.47,,,,4.19,14.2472000
Kepler-1170 b,Kepler-1170,0,1,1,9.98970266,0.088000,,,0.000000,705,5265.00,0.81,0.91,0.140,[Fe/H],4.58,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98969327,0.088200,,,0.000000,704,5256.00,0.81,0.91,0.160,[Fe/H],4.58,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98962569,,,,,,5004.00,0.90,0.83,,,4.45,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98970266,,,,,,5004.00,0.90,0.83,,,4.45,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,,,,,,,5262.00,0.89,,,,,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98973387,,,,,,5004.00,0.90,0.83,,,4.45,15.9093000
Kepler-1170 b,Kepler-1170,1,1,1,9.98969327,,,,,,5069.00,0.76,0.80,-0.090,[Fe/H],4.58,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98965000,0.088000,,,0.000000,646,5065.00,0.74,0.91,,,4.66,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98969327,0.088200,,,0.000000,704,5256.00,0.81,0.91,0.160,[Fe/H],4.58,15.9093000
Kepler-1170 b,Kepler-1170,0,1,1,9.98969327,0.088200,,,0.000000,704,5256.00,0.81,0.91,0.160,[Fe/H],4.58,15.9093000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259224,0.028400,,,0.000000,2700,7216.00,2.04,1.46,-0.360,[Fe/H],3.98,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259224,0.028400,,,0.000000,2700,7216.00,2.04,1.46,-0.360,[Fe/H],3.98,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259530,0.030000,,,0.000000,2745,7222.00,2.23,1.65,,,3.96,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259054,,,,,,7014.00,1.84,1.54,,,4.09,11.4587000
Kepler-1171 b,Kepler-1171,1,1,1,1.44259224,,,,,,7044.00,1.95,1.58,-0.010,[Fe/H],4.05,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259194,,,,,,7014.00,1.84,1.54,,,4.09,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259231,,,,,,7014.00,1.84,1.54,,,4.09,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259231,0.028400,,,0.000000,2700,7216.00,2.04,1.46,-0.360,[Fe/H],3.98,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,1.44259224,0.028400,,,0.000000,2700,7216.00,2.04,1.46,-0.360,[Fe/H],3.98,11.4587000
Kepler-1171 b,Kepler-1171,0,1,1,,,,,,,7225.00,1.83,,,,,11.4587000
Kepler-1172 b,Kepler-1172,0,1,1,26.01879744,,,,,,5743.43,0.84,1.03,0.182,[M/H],4.60,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02060000,0.171000,,,0.000000,475,5571.00,0.64,0.98,,,4.82,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02044230,0.171600,,,0.000000,586,5806.00,0.90,1.00,-0.040,[Fe/H],4.53,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02044230,0.171600,,,0.000000,586,5806.00,0.90,1.00,-0.040,[Fe/H],4.53,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02044230,0.171600,,,0.000000,586,5806.00,0.90,1.00,-0.040,[Fe/H],4.53,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02033290,0.168000,,,0.000000,675,5624.00,1.24,0.93,0.040,[Fe/H],4.22,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02033290,,,,,,5743.43,0.84,1.03,0.182,[M/H],4.60,15.8463000
Kepler-1172 b,Kepler-1172,1,1,1,26.02044230,,,,,,5558.00,0.89,0.92,-0.040,[Fe/H],4.51,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,,,,,,,5626.00,0.91,,,,,15.8463000
Kepler-1172 b,Kepler-1172,0,1,1,26.02017992,,,,,,5743.43,0.84,1.03,0.182,[M/H],4.60,15.8463000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985490,,,,,,5084.02,0.78,0.85,0.251,[M/H],4.58,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985490,0.015700,,,0.000000,1650,5173.00,0.82,0.87,0.160,[Fe/H],4.55,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985360,0.015800,,,0.000000,1643,5178.00,0.82,0.88,0.160,[Fe/H],4.56,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985360,0.015800,,,0.000000,1643,5178.00,0.82,0.88,0.160,[Fe/H],4.56,13.8043000
Kepler-1173 b,Kepler-1173,1,1,1,0.76985360,,,,,,5252.00,0.82,0.86,0.000,[Fe/H],4.55,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985410,0.015000,,,0.000000,1585,5088.00,0.75,0.75,,,4.57,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985446,,,,,,5084.02,0.78,0.85,0.251,[M/H],4.58,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,,,,,,,5076.00,0.78,,,,,13.8043000
Kepler-1173 b,Kepler-1173,0,1,1,0.76985360,0.015800,,,0.000000,1643,5178.00,0.82,0.88,0.160,[Fe/H],4.56,13.8043000
Kepler-1174 b,Kepler-1174,0,1,1,6.89225223,0.071200,,,0.000000,962,6046.00,0.93,1.01,-0.200,[Fe/H],4.51,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,6.89225223,0.071200,,,0.000000,962,6046.00,0.93,1.01,-0.200,[Fe/H],4.51,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,6.89225000,0.072000,,,0.000000,974,6059.00,0.96,1.05,,,4.50,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,6.89223458,,,,,,5939.00,1.79,1.08,,,3.97,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,,,,,,,5868.00,1.80,,,,,14.1590000
Kepler-1174 b,Kepler-1174,1,1,1,6.89225223,,,,,,5936.00,1.04,1.04,-0.040,[Fe/H],4.42,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,6.89226333,,,,,,5939.00,1.79,1.08,,,3.97,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,6.89226333,0.073200,,,0.000000,1156,5862.00,1.46,1.10,0.160,[Fe/H],4.15,14.1590000
Kepler-1174 b,Kepler-1174,0,1,1,6.89225223,0.071200,,,0.000000,962,6046.00,0.93,1.01,-0.200,[Fe/H],4.51,14.1590000
Kepler-1175 b,Kepler-1175,0,1,1,37.94561380,,,,,,5473.00,0.75,0.96,,,4.67,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94561380,0.218100,,,0.000000,515,5861.00,0.86,0.96,-0.200,[Fe/H],4.55,15.9163000
Kepler-1175 b,Kepler-1175,1,1,1,37.94563000,,,,,,5453.00,0.86,0.90,-0.040,[Fe/H],4.53,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94584397,,,,,,5473.00,0.75,0.96,,,4.67,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,,,,,,,5865.00,0.76,,,,,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94498797,,,,,,5473.00,0.75,0.96,,,4.67,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94523000,0.221000,,,0.000000,520,5866.00,0.89,1.00,,,4.54,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94563000,0.218300,,,0.000000,516,5870.00,0.87,0.96,-0.200,[Fe/H],4.54,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94563000,0.218300,,,0.000000,516,5870.00,0.87,0.96,-0.200,[Fe/H],4.54,15.9163000
Kepler-1175 b,Kepler-1175,0,1,1,37.94563000,0.218300,,,0.000000,516,5870.00,0.87,0.96,-0.200,[Fe/H],4.54,15.9163000
Kepler-1176 b,Kepler-1176,0,1,1,24.17378515,,,,,,5593.23,0.93,0.99,-0.313,[M/H],4.50,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,,,,,,,5467.00,0.91,,,,,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,24.17534000,0.158000,,,0.000000,551,5540.00,0.80,0.91,,,4.59,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,24.17385790,0.155700,,,0.000000,552,5534.00,0.80,0.86,-0.220,[Fe/H],4.57,15.0496000
Kepler-1176 b,Kepler-1176,1,1,1,24.17385790,,,,,,5844.00,1.02,1.01,-0.010,[Fe/H],4.42,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,24.17385790,0.155700,,,0.000000,552,5534.00,0.80,0.86,-0.220,[Fe/H],4.57,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,24.17382440,0.158900,,,0.000000,595,5468.00,0.97,0.91,0.140,[Fe/H],4.43,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,24.17382440,,,,,,5593.23,0.93,0.99,-0.313,[M/H],4.50,15.0496000
Kepler-1176 b,Kepler-1176,0,1,1,24.17385790,0.155700,,,0.000000,552,5534.00,0.80,0.86,-0.220,[Fe/H],4.57,15.0496000
Kepler-1177 b,Kepler-1177,0,1,1,106.24827038,,,,,,5643.00,1.55,1.00,,,4.06,14.5078000
Kepler-1177 b,Kepler-1177,1,1,1,106.24754700,,,,,,5712.00,0.97,0.98,0.020,[Fe/H],4.46,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,,,,,,,5674.00,1.54,,,,,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.25599960,,,,,,5643.00,1.55,1.00,,,4.06,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.24900000,0.439000,,,0.000000,397,5952.00,1.00,0.99,,,4.43,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.24754700,0.438300,,,0.000000,397,5968.00,1.00,0.99,-0.120,[Fe/H],4.44,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.24754700,0.438300,,,0.000000,397,5968.00,1.00,0.99,-0.120,[Fe/H],4.44,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.24754700,0.438300,,,0.000000,397,5968.00,1.00,0.99,-0.120,[Fe/H],4.44,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.24788200,0.430100,,,0.000000,377,5679.00,0.97,0.94,0.000,[Fe/H],4.43,14.5078000
Kepler-1177 b,Kepler-1177,0,1,1,106.24788200,,,,,,5643.00,1.55,1.00,,,4.06,14.5078000
Kepler-1178 b,Kepler-1178,0,1,1,31.80551280,0.159600,,,0.000000,378,4729.00,0.53,0.53,-1.420,[Fe/H],4.73,13.9597000
Kepler-1178 b,Kepler-1178,0,1,1,31.80634000,0.159600,,,0.000000,378,4729.00,0.53,0.53,-1.420,[Fe/H],4.73,13.9597000
Kepler-1178 b,Kepler-1178,0,1,1,31.80634000,0.159600,,,0.000000,378,4729.00,0.53,0.53,-1.420,[Fe/H],4.73,13.9597000
Kepler-1178 b,Kepler-1178,0,1,1,31.80634000,0.159600,,,0.000000,378,4729.00,0.53,0.53,-1.420,[Fe/H],4.73,13.9597000
Kepler-1178 b,Kepler-1178,0,1,1,31.80873536,,,,,,5084.79,0.94,0.85,-0.192,[M/H],4.42,13.9597000
Kepler-1178 b,Kepler-1178,0,1,1,,,,,,,4734.00,1.15,,,,,13.9597000
Kepler-1178 b,Kepler-1178,1,1,1,31.80634000,,,,,,4990.00,0.75,0.80,-0.050,[Fe/H],4.59,13.9597000
Kepler-1178 b,Kepler-1178,0,1,1,31.80551280,,,,,,5084.79,0.94,0.85,-0.192,[M/H],4.42,13.9597000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505445,,,,,,5207.00,0.74,0.89,,,4.65,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505445,0.034600,,,0.000000,1137,5266.00,0.83,0.77,-0.180,[Fe/H],4.48,14.0675000
Kepler-1179 b,Kepler-1179,1,1,1,2.68505749,,,,,,5212.00,0.81,0.84,-0.030,[Fe/H],4.56,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,,,,,,,5133.00,0.74,,,,,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505683,,,,,,5207.00,0.74,0.89,,,4.65,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505800,0.035000,,,0.000000,1129,5264.00,0.83,0.78,,,4.50,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505749,0.034600,,,0.000000,1137,5266.00,0.83,0.77,-0.180,[Fe/H],4.48,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505749,0.034600,,,0.000000,1137,5266.00,0.83,0.77,-0.180,[Fe/H],4.48,14.0675000
Kepler-1179 b,Kepler-1179,0,1,1,2.68505749,0.034600,,,0.000000,1137,5266.00,0.83,0.77,-0.180,[Fe/H],4.48,14.0675000
Kepler-118 b,Kepler-118,0,1,2,7.51854537,,,,,,5109.00,0.83,0.86,,,4.54,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51854537,0.070100,,,0.000000,784,5064.00,0.86,0.81,0.180,[Fe/H],4.47,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51849479,0.071500,,,0.000000,861,5275.00,0.98,0.86,0.200,[Fe/H],4.39,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51849479,0.071500,,,0.000000,861,5275.00,0.98,0.86,0.200,[Fe/H],4.39,14.7187000
Kepler-118 b,Kepler-118,1,1,2,7.51849600,0.073000,,,,,5274.00,1.09,,,,4.32,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51866000,0.069000,,,0.000000,775,5181.00,0.79,0.77,,,4.53,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51842012,,,,,,5109.00,0.83,0.86,,,4.54,14.7187000
Kepler-118 b,Kepler-118,0,1,2,,,,,,,5057.00,0.82,,,,,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51849479,,,,,,5234.00,0.81,0.85,-0.010,[Fe/H],4.55,14.7187000
Kepler-118 b,Kepler-118,0,1,2,7.51849479,0.071500,,,0.000000,861,5275.00,0.98,0.86,0.200,[Fe/H],4.39,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202387,,,,,,5234.00,0.81,0.85,-0.010,[Fe/H],4.55,14.7187000
Kepler-118 c,Kepler-118,1,1,2,20.17202000,0.141000,,,,,5274.00,1.09,,,,4.32,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202467,,,,,,5109.00,0.83,0.86,,,4.54,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202467,0.135300,,,0.000000,564,5064.00,0.86,0.81,0.180,[Fe/H],4.47,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202387,0.138000,,,0.000000,619,5275.00,0.98,0.86,0.200,[Fe/H],4.39,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202387,0.138000,,,0.000000,619,5275.00,0.98,0.86,0.200,[Fe/H],4.39,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202387,0.138000,,,0.000000,619,5275.00,0.98,0.86,0.200,[Fe/H],4.39,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17201100,0.133000,,,0.000000,558,5181.00,0.79,0.77,,,4.53,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202326,,,,,,5109.00,0.83,0.86,,,4.54,14.7187000
Kepler-118 c,Kepler-118,0,1,2,,,,,,,5057.00,0.82,,,,,14.7187000
Kepler-118 c,Kepler-118,0,1,2,20.17202773,,,,,,5109.00,0.83,0.86,,,4.54,14.7187000
Kepler-1180 b,Kepler-1180,0,1,1,16.86008050,,,,,,6163.00,1.42,1.17,,,4.20,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.86008050,0.124600,,,0.000000,765,6205.00,0.97,0.91,-0.580,[Fe/H],4.42,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.86012860,0.124600,,,0.000000,765,6205.00,0.97,0.91,-0.580,[Fe/H],4.42,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.86012860,0.124600,,,0.000000,765,6205.00,0.97,0.91,-0.580,[Fe/H],4.42,14.9844000
Kepler-1180 b,Kepler-1180,1,1,1,16.86012860,,,,,,6077.00,1.14,1.09,0.000,[Fe/H],4.36,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.85818000,0.134000,,,0.000000,780,6264.00,1.07,1.12,,,4.43,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.85976251,,,,,,6163.00,1.42,1.17,,,4.20,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,,,,,,,6206.00,1.43,,,,,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.85983142,,,,,,6163.00,1.42,1.17,,,4.20,14.9844000
Kepler-1180 b,Kepler-1180,0,1,1,16.86012860,0.124600,,,0.000000,765,6205.00,0.97,0.91,-0.580,[Fe/H],4.42,14.9844000
Kepler-1181 b,Kepler-1181,0,1,1,4.89336495,,,,,,6495.28,1.36,1.33,-0.219,[M/H],4.29,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89336495,0.062100,,,0.000000,1374,6688.00,1.35,1.34,0.070,[Fe/H],4.30,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89337519,0.062100,,,0.000000,1358,6680.00,1.32,1.33,0.070,[Fe/H],4.32,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89337519,0.062100,,,0.000000,1358,6680.00,1.32,1.33,0.070,[Fe/H],4.32,13.4553000
Kepler-1181 b,Kepler-1181,1,1,1,4.89337519,,,,,,6176.00,1.30,1.17,0.030,[Fe/H],4.27,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89348900,0.061000,,,0.000000,1264,6333.00,1.25,1.24,,,4.34,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89332736,,,,,,6495.28,1.36,1.33,-0.219,[M/H],4.29,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,,,,,,,6689.00,1.33,,,,,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89343316,,,,,,6495.28,1.36,1.33,-0.219,[M/H],4.29,13.4553000
Kepler-1181 b,Kepler-1181,0,1,1,4.89337519,0.062100,,,0.000000,1358,6680.00,1.32,1.33,0.070,[Fe/H],4.32,13.4553000
Kepler-1182 b,Kepler-1182,0,1,1,11.17392077,,,,,,5847.00,1.31,1.06,,,4.23,15.3453000
Kepler-1182 b,Kepler-1182,0,1,1,11.17392077,0.098100,,,0.000000,796,5911.00,0.91,1.01,-0.100,[Fe/H],4.52,15.3453000
Kepler-1182 b,Kepler-1182,0,1,1,11.17394617,0.098100,,,0.000000,796,5911.00,0.91,1.01,-0.100,[Fe/H],4.52,15.3453000
Kepler-1182 b,Kepler-1182,0,1,1,11.17394617,0.098100,,,0.000000,796,5911.00,0.91,1.01,-0.100,[Fe/H],4.52,15.3453000
Kepler-1182 b,Kepler-1182,1,1,1,11.17394617,,,,,,5924.00,1.05,1.04,0.010,[Fe/H],4.41,15.3453000
Kepler-1182 b,Kepler-1182,0,1,1,11.17360000,0.098000,,,0.000000,790,5900.00,0.90,1.01,,,4.53,15.3453000
